No	AspectID	Subsection	Description	Requirement	MaxMark	Type	HowToMark
11	B3	Hub NHRP behavior	IR1 поддерживает dynamic spoke registration и Phase 3 redirect.	Dynamic multicast mapping разрешен; NHRP redirect активен; hub не использует статические spoke mappings.	0.25	M	Выполнить `show dmvpn detail` и `show ip nhrp`. После регистрации должны появиться dynamic entries и redirect-capable Phase 3 state.
12	B4	Spoke hub mapping	Каждый spoke имеет правильный static mapping к primary hub.	Tunnel IP 172.20.100.1 сопоставлен с NBMA 203.0.113.66.	0.25	M	На IR3/BR1/BR2 выполнить `show ip nhrp 172.20.100.1 detail`. Проверить статический complete mapping на 203.0.113.66.
13	B5	Spoke multicast/NHS	На spokes настроены multicast mapping и NHS primary hub.	Multicast направляется на 203.0.113.66; NHS 172.20.100.1 зарегистрирован.	0.25	M	На трех spokes выполнить `show ip nhrp multicast`, `show ip nhrp nhs` либо `show dmvpn detail`. Начислить пропорционально.
14	B6	NHRP authentication	Primary cloud использует authentication AURORA-C4.	На IR1, IR3, BR1 и BR2 Tunnel100 настроено точное значение `ip nhrp authentication AURORA-C4`; registrations устойчивы.	0.25	M	Сначала подтвердить registrations через `show dmvpn detail`/`show ip nhrp`. Затем выполнить только разрешенную точечную проверку `show running-config interface Tunnel100 | include ip nhrp authentication`. Начислить 0,25 × число корректных devices / 4.
15	B7	NHRP holdtime	NHRP holdtime primary cloud равен 300 seconds.	На IR1, IR3, BR1 и BR2 Tunnel100 настроено точное значение `ip nhrp holdtime 300`.	0.25	M	Проверить runtime entries через `show ip nhrp detail`, затем точечно выполнить `show running-config interface Tunnel100 | include ip nhrp holdtime`. Оставшееся время жизни entry само по себе не используется как доказательство configured holdtime. Начислить пропорционально по 4 devices.
16	B8	MTU/MSS	Tunnel100 всех четырех устройств использует IP MTU 1400 и TCP MSS 1360.	MTU подтверждается interface state; exact `ip tcp adjust-mss 1360` присутствует на каждом Tunnel100.	0.25	M	Выполнить `show interfaces Tunnel100` и DF extended ping для MTU. Для MSS разрешена только точечная проверка `show running-config interface Tunnel100 | include ip tcp adjust-mss`. Начислить 0,125 за MTU на всех devices и 0,125 за MSS на всех devices; внутри части — пропорционально.
17	B9	Hub registrations	IR1 видит три active primary-cloud spokes.	NHRP/DMVPN entries для IR3, BR1 и BR2 находятся UP/registered.	0.25	M	На IR1 выполнить `show dmvpn` и `show ip nhrp`. Должны быть три dynamic peers с правильными tunnel/NBMA addresses. 0,0833 за peer.
18	B10	Spoke hub peers	Каждый spoke имеет рабочий primary hub peer.	IR3, BR1 и BR2: hub peer UP; NHS registered; Tunnel100 line protocol up.	0.25	M	На каждом spoke выполнить `show dmvpn`, `show ip nhrp nhs` и `show interfaces Tunnel100`. 0,0833 за spoke.
19	B11	Cloud independence	Tunnel100 является одной multipoint cloud без дополнительных GRE point-to-point tunnels.	Для primary cloud используется только Tunnel100; отсутствуют статические p2p GRE обходы.	0.25	M	Выполнить `show interfaces tunnel` и `show dmvpn`. Проверить mGRE cloud и отсутствие дополнительных tunnel interfaces для primary paths.
20	B12	Phase 3 redirect	Primary hub формирует NHRP redirect при spoke-to-spoke traffic.	После первоначального BR1→BR2 traffic hub-assisted path приводит к redirect и последующему shortcut.	0.25	M	Очистить shortcut entries, запустить BR1→BR2 traffic и наблюдать `show ip nhrp traffic`/`show dmvpn detail`. Redirect counters либо соответствующие dynamic events должны увеличиться.
21	B13	Shortcut mapping	BR1 и BR2 создают direct dynamic NHRP mappings.	BR1 знает NBMA BR2 203.0.113.82; BR2 знает NBMA BR1 203.0.113.78; entries dynamic/complete.	0.25	M	На BR1/BR2 выполнить `show ip nhrp` после трафика. 0,125 за корректную запись на каждом spoke.
22	B14	Shortcut forwarding	После convergence BR1↔BR2 traffic проходит непосредственно spoke-to-spoke через Tunnel100.	CEF/DMVPN next hop указывает удаленный spoke, а не постоянную пересылку через IR1.	0.25	M	Выполнить `show ip cef 10.103.0.0/16 detail` на BR1 и `show ip cef 10.102.0.0/16 detail` на BR2, `show dmvpn`, traceroute/packet capture. Проверить direct NBMA forwarding.
23	B15	Primary Phase 3 functionality	Primary cloud обеспечивает branch-to-branch overlay traffic и устойчивый direct shortcut.	PC3↔PC4 traffic проходит; после redirect BR1/BR2 используют direct dynamic NHRP mapping и direct NBMA forwarding через Tunnel100. HQ/DC route integration в этом аспекте не оценивается.	0.5	M	0,25 — PC3↔PC4 overlay connectivity. 0,25 — dynamic mapping, CEF next hop и direct spoke-to-spoke forwarding через Tunnel100. Не снижать этот аспект за ошибку OSPF redistribution, которая оценивается в section E.
24	C1	Tunnel200 hub	IR2 Tunnel200 имеет правильный тип и base parameters.	mGRE; 172.20.200.1/24; source G0/3; key200; network-id4200.	0.25	M	На IR2 выполнить tunnel/interface detail, `show dmvpn` и `show ip nhrp`.
25	C2	Tunnel200 spokes	IR3, BR1 и BR2 Tunnel200 имеют требуемые addresses и base parameters.	IR3 .13, BR1 .11, BR2 .12 в 172.20.200.0/24; source local WAN; key200; network-id4200.	0.25	M	Проверить три spokes. Начислить по 0,0833 за полностью корректный Tunnel200.
26	C3	Backup hub behavior	IR2 поддерживает dynamic registration и NHRP redirect.	Dynamic multicast mappings; NHRP redirect; три dynamic spoke registrations.	0.25	M	На IR2 выполнить `show dmvpn detail`, `show ip nhrp` и `show ip nhrp traffic`.
27	C4	Backup hub mapping	Каждый spoke имеет static mapping к backup hub.	Tunnel IP 172.20.200.1 сопоставлен с NBMA 203.0.113.70.	0.25	M	На IR3/BR1/BR2 выполнить detailed NHRP lookup. 0,0833 за spoke.
28	C5	Backup multicast/NHS	Spokes имеют multicast mapping и NHS backup hub.	Multicast →203.0.113.70; NHS 172.20.200.1 registered.	0.25	M	Проверить `show ip nhrp multicast`, NHS state и `show dmvpn detail` на трех spokes.
29	C6	Cloud separation	Primary и backup clouds логически разделены.	Разные tunnel networks, network-id и keys; NHRP mappings одной cloud не появляются в другой.	0.25	M	Сравнить `show ip nhrp`/`show dmvpn` для Tunnel100 и Tunnel200. Проверить отсутствие cross-cloud mappings.
30	C7	Backup authentication/holdtime	Backup cloud использует AURORA-C4 и holdtime300.	Все registrations устойчивы; NHRP timers соответствуют 300 s.	0.25	M	Проверить detailed NHRP state на IR2 и трех spokes. Начислить 0,125 за authentication behavior и 0,125 за holdtime.
31	C8	Backup MTU/MSS	Tunnel200 всех четырех устройств использует MTU1400 и MSS1360.	Fragmentation control соответствует primary cloud.	0.25	M	Проверить interfaces и extended ping/traffic. Начислить пропорционально по 4 devices.
32	C9	Backup registrations	IR2 видит три active spokes в Cloud200.	IR3, BR1, BR2 зарегистрированы с правильными tunnel/NBMA addresses.	0.25	M	Выполнить `show dmvpn` и `show ip nhrp` на IR2. 0,0833 за peer.
33	C10	Backup spoke peers	Каждый spoke имеет рабочий Tunnel200 hub peer.	Tunnel200 up/up; NHS registered; peer state UP.	0.25	M	Проверить IR3/BR1/BR2. Начислить по 0,0833.
34	C11	Backup readiness and stability	Backup cloud до отказа полностью готова к переключению и не flaps.	В течение не менее 60 s Tunnel200 остается up; IR2 видит три registrations; backup EIGRP neighbors Up; на каждом spoke есть stable IKEv2/IPsec session к IR2. Формирование shortcut после отказа оценивается только в I4.	0.5	M	Наблюдать `show dmvpn`, `show ip nhrp`, EIGRP neighbors, crypto sessions и logging в течение 60 s. Начислить по 0,125 за: registrations; EIGRP neighbors; crypto readiness; отсутствие flapping.
35	D1	IKEv2 proposal	IKEv2 proposal использует требуемые transforms.	Encryption AES-CBC-256; integrity SHA-256; PRF SHA-256; DH group14.	0.25	M	Выполнить `show crypto ikev2 proposal` и проверить все four transforms.
36	D2	IKEv2 policy	IKEv2 policy использует корректный proposal.	Active policy ссылается на proposal, соответствующий D1.	0.25	M	Выполнить `show crypto ikev2 policy`; проверить proposal association и отсутствие более приоритетной несовместимой policy.
37	D3	IKEv2 keyring	Keyring поддерживает dynamic remote IPv4 peers и использует точный PSK Skill39@C4.	Local/remote pre-shared key соответствует protected Expert Data на всех пяти routers; ключ не записывается в comments/evidence.	0.25	M	Сначала подтвердить рабочими SAs со всеми required peers. Затем эксперт выполняет только защищенную точечную проверку `show running-config | section crypto ikev2 keyring` и сравнивает PSK с Expert Data. Не копировать secret в workbook. Начислить 0,25 × число корректных routers / 5.
38	D4	IKEv2 profile	IKEv2 profile использует PSK authentication и keyring.	Local/remote authentication pre-share; remote identity IPv4; profile успешно выбирается для всех overlay peers.	0.25	M	Выполнить `show crypto ikev2 profile`/`show crypto ikev2 sa detailed`. Проверить выбранный profile, authentication method и identities.
39	D5	Transform-set	IPsec transform-set использует ESP AES-256 и SHA-256 HMAC в transport mode.	Negotiated IPsec SAs показывают требуемые algorithms и transport mode.	0.25	M	Выполнить `show crypto ipsec sa` и `show crypto session detail`; проверить transform, mode transport.
40	D6	IPsec profile	Обязательный IPsec profile C4-IPSEC связан с IKEv2 profile и transform-set.	Рабочие tunnel SAs создаются через C4-IPSEC.	0.25	M	Проверить `show crypto ipsec profile` либо session detail, если команда поддерживается; окончательно подтвердить profile selection рабочими SAs.
41	D7	Hub tunnel protection	IR1 Tunnel100 и IR2 Tunnel200 защищены IPsec.	Оба hub tunnels формируют encrypted sessions со всеми spokes.	0.25	M	На hubs выполнить `show crypto ikev2 sa`, `show crypto ipsec sa` и `show crypto session detail`. 0,125 за hub.
42	D8	Shared spoke protection	IR3, BR1 и BR2 используют shared tunnel protection для Tunnel100 и Tunnel200.	На каждом dual-cloud spoke обе interfaces содержат `tunnel protection ipsec profile C4-IPSEC shared`; обе clouds работают одновременно без SA conflict/flapping.	0.25	M	Проверить stable sessions к IR1 и IR2. Затем точечно выполнить на каждом spoke: `show running-config interface Tunnel100 | include tunnel protection` и аналогично Tunnel200. Начислить 0,25 × число полностью корректных spokes / 3.
43	D9	Primary hub SAs	Каждый spoke имеет active IKEv2/IPsec SA к NBMA IR1.	IR3, BR1, BR2 ↔203.0.113.66 SAs ACTIVE/READY.	0.25	M	Проверить `show crypto ikev2 sa`/session detail на three spokes. 0,0833 за SA.
44	D10	Backup hub SAs	Каждый spoke имеет active IKEv2/IPsec SA к NBMA IR2.	IR3, BR1, BR2 ↔203.0.113.70 SAs ACTIVE/READY.	0.25	M	Проверить three spokes. 0,0833 за SA.
45	D11	Encrypted forwarding	DMVPN traffic шифруется; ESP counters растут; clear GRE отсутствует.	Encaps/decaps counters увеличиваются для inter-site traffic; WAN capture не содержит незашифрованный GRE protocol47.	0.25	M	Очистить/зафиксировать counters, сгенерировать traffic, выполнить `show crypto ipsec sa`; сделать PNETLab capture на WAN. Проверить ESP и отсутствие clear GRE.
46	D12	Spoke-to-spoke encryption	Primary Phase 3 shortcut защищен direct spoke-to-spoke IPsec SA.	После BR1↔BR2 shortcut существует общая SA между NBMA 203.0.113.78 и 203.0.113.82; counters растут. Отдельная SA на каждый tunnel key при shared protection не требуется.	0.25	M	До traffic записать либо очистить counters общей spoke SA. После primary shortcut проверить NHRP/CEF Tunnel100 и рост encaps/decaps counters именно между NBMA BR1 и BR2. Не искать отдельную SA с признаком Tunnel100.
47	E1	Named EIGRP	Named process C4-OVERLAY AS4040 работает на пяти routers.	IR1, IR2, IR3, BR1 и BR2 используют address-family IPv4 unicast AS4040.	0.25	M	Выполнить `show ip protocols` и `show eigrp address-family ipv4 interfaces`. Начислить по 0,05 за router.
48	E2	Router ID	EIGRP router-id равен Loopback0.	Router ID пяти routers соответствует таблице задания.	0.25	M	Проверить `show ip protocols`/EIGRP topology и Loopback0. Начислить по 0,05.
49	E3	Interface scope	Применена passive-interface default; только Tunnel100/200 non-passive.	BR1/BR2 user и MGMT subinterfaces включены как passive; WAN/Loopback не формируют EIGRP neighbors.	0.25	M	Выполнить `show ip protocols` и `show ip eigrp interfaces`. Проверить полный scope.
50	E4	Primary neighbors	Все primary-cloud EIGRP adjacencies находятся Up.	IR1 имеет IR3/BR1/BR2 neighbors по Tunnel100; каждый spoke имеет neighbor IR1.	0.25	M	Выполнить EIGRP neighbor output. Начислить по 0,0833 за hub-visible primary peer.
51	E5	Backup neighbors	Все backup-cloud EIGRP adjacencies находятся Up.	IR2 имеет IR3/BR1/BR2 neighbors по Tunnel200; каждый spoke имеет neighbor IR2.	0.25	M	Проверить neighbor table. Начислить по 0,0833 за hub-visible backup peer.
52	E6	Hub split horizon	EIGRP split horizon отключен только на hub tunnel interfaces.	IR1 Tunnel100 и IR2 Tunnel200 передают spoke routes другим spokes.	0.25	M	Выполнить `show ip eigrp interfaces detail Tunnel100/Tunnel200`, если поддерживается, и функционально проверить branch-to-branch route learning. 0,125 за hub.
53	E7	Phase 3 next-hop behavior	Next-hop-self не отключен; Phase 3 shortcut формируется через NHRP redirect/shortcut.	Initial EIGRP route через hub преобразуется в direct NHRP forwarding после redirect.	0.25	M	Проверить EIGRP topology, NHRP/DMVPN and CEF before/after shortcut. Не требовать конфигурационный вывод.
54	E8	Stub roles	Spoke stub modes соответствуют заданию.	BR1/BR2: stub connected summary; IR3: stub connected summary redistributed.	0.25	M	На hubs выполнить `show ip eigrp neighbors detail`; проверить advertised stub flags/capabilities. Начислить пропорционально по three spokes.
55	E9	Tunnel metrics	Bandwidth/delay создают primary/backup preference.	Обе clouds bandwidth 10000 Kbit/s; configured delay: Tunnel100 — 1000, Tunnel200 — 10000. На IOSv это обычно отображается как DLY 10000 usec и DLY 100000 usec соответственно.	0.25	M	Выполнить `show interfaces Tunnel100`, `show interfaces Tunnel200` и EIGRP topology metric components. Оценивать configured intent с учетом единиц smoke-tested IOSv image: команда `delay` задается в десятках microseconds.
56	E10	EIGRP timers	Tunnel interfaces используют hello5/hold15.	Все tunnel adjacencies negotiated with hold time consistent with 15 s.	0.25	M	Выполнить `show ip eigrp interfaces detail` и neighbor output. Проверить hello interval и hold timer.
57	E11	Warm-backup AD	IR1 и IR2 используют external EIGRP administrative distance105.	Оба hubs одновременно сохраняют D EX remote summaries, несмотря на OSPF E1 routes.	0.25	M	Выполнить `show ip protocols`, `show ip route eigrp` на IR1/IR2. Проверить external distance105 и D EX remote summaries на обоих hubs.
58	E12	BR1 summary	BR1 объявляет summary 10.102.0.0/16 на обеих clouds.	Удаленные routers получают только /16; BR1 user/MGMT /24 не leak как отдельные routes.	0.25	M	На IR1/IR2/IR3/BR2 проверить route/topology. Summary присутствует; 10.102.10/24 и 10.102.50/24 отсутствуют как отдельные EIGRP routes.
59	E13	BR2 summary	BR2 объявляет summary 10.103.0.0/16 на обеих clouds.	Удаленные routers получают только /16; branch /24 specifics отсутствуют.	0.25	M	Аналогично E12 для 10.103/16.
60	E14	HQ export to overlay	IR1/IR2 подключают C4-HQ-TO-OVERLAY.	OSPF summary 10.100/16 импортируется в EIGRP с tag410 и preconfigured seed metric; другие OSPF prefixes не импортируются.	0.25	M	На IR1/IR2 выполнить `show ip protocols`, `show route-map`; на spokes — detailed route/topology 10.100/16. Проверить D EX, tag410 и отсутствие HQ specifics.
61	E15	HQ import primary/backup	IR1/IR2 подключают соответствующие overlay→HQ route-maps.	IR1 создает primary E1 LSAs metric40/tag420; IR2 — warm-backup metric140/tag420.	0.25	M	Выполнить `show ip ospf database external` для 10.101/16,10.102/16,10.103/16. Для каждого prefix должны присутствовать LSAs от обоих ASBR с external metrics40/140 и tag420.
62	E16	DC integration	IR3 подключает C4-DC-TO-OVERLAY и C4-OVERLAY-TO-DC.	10.101/16 распространяется как D EX tag411; HQ/branches импортируются в OSPF как E1 metric40 tag421.	0.25	M	Проверить `show ip protocols`, `show route-map`, EIGRP topology 10.101/16 и DC OSPF external LSAs.
63	E17	Branch route states	Branch route types соответствуют требованиям.	На BR1/BR2: HQ и DC — D EX; summary другого branch — D; normal best path через Tunnel100.	0.25	M	На обоих branches выполнить `show ip route 10.100.0.0`, `10.101.0.0`, remote branch summary и EIGRP topology. 0,125 за branch.
64	E18	HQ route states	HQ core получает remote summaries как O E1 tag420 с warm backup.	Best path использует IR1; Type-5 LSA external metrics40/140. Итоговая RIB metric может включать internal cost.	0.25	M	На CR/DS проверить `show ip route` type/next-hop/tag. External metrics проверять только в `show ip ospf database external`, не требовать RIB metric ровно40/140.
65	E19	DC route states	DS3/DS4 получают HQ/branches как O E1 tag421.	10.100/16,10.102/16,10.103/16: correct type, tag and next hop via IR3.	0.25	M	На DS3/DS4 выполнить detailed route lookup и OSPF external database. Начислить 0,125 за device при полном наборе.
66	E20	No feedback / leaks	После convergence/clear отсутствуют duplicate summaries, VLAN specifics и route feedback.	Не перераспределяются default, public, WAN /30, Loopback0, management specifics и IR2–IR3 link.	0.25	M	После expert clear проверить `show ip route eigrp`, `show ip ospf database external`, EIGRP topology и route tags. Оценивать только лишние/feedback routes; не повторять снижение за уже оцененный отсутствующий required route.
67	F1	Class maps	Созданы C4-REALTIME и C4-BUSINESS с правильным DSCP match.	REALTIME matches EF(46); BUSINESS matches AF31(26).	0.25	M	Выполнить `show class-map`. Проверить names, match-all/any behavior and DSCP values. 0,125 за class-map.
68	F2	LLQ	Child policy C4-WAN-QOS выделяет REALTIME priority15%.	EF traffic классифицируется в LLQ; configured priority percent15.	0.25	M	Выполнить `show policy-map C4-WAN-QOS` и `show policy-map interface` после EF traffic.
69	F3	Business bandwidth	BUSINESS получает bandwidth percent30.	AF31 traffic попадает в BUSINESS; configured bandwidth30%.	0.25	M	Проверить policy output и counters после AF31 traffic.
70	F4	Class-default	Class-default использует fair-queue.	Unmarked DSCP0 traffic классифицируется в class-default.	0.25	M	Выполнить `show policy-map` и interface statistics after default flow.
71	F5	QoS pre-classify	qos pre-classify настроен на всех восьми tunnel interfaces.	Tunnel100 на IR1/IR3/BR1/BR2 и Tunnel200 на IR2/IR3/BR1/BR2 содержат exact `qos pre-classify`; inner DSCP классифицируется на WAN output.	0.25	M	Функционально подтвердить encrypted EF/AF31 classification. Затем выполнить только точечную проверку `show running-config interface Tunnel100|Tunnel200 | include qos pre-classify`. Начислить 0,25 × число корректных tunnel interfaces / 8.
72	F6	Parent shaping	Parent policy C4-WAN-PARENT shapes to 5,000,000 bit/s.	Parent содержит shape average5000000 и дочернюю service-policy C4-WAN-QOS.	0.25	M	Выполнить `show policy-map C4-WAN-PARENT` и interface output.
73	F7	WAN application	C4-WAN-PARENT applied output на всех пяти WAN interfaces.	IR1/IR2/IR3 G0/3 и BR1/BR2 G0/0 показывают active output policy.	0.25	M	Выполнить `show policy-map interface <WAN>` на five routers. 0,05 за interface.
74	F8	Classification on all WAN outputs	EF, AF31 и default test flows учитываются на всех пяти WAN output policies.	Проверены IR1 G0/3, IR2 G0/3, IR3 G0/3, BR1 G0/0 и BR2 G0/0 по traffic matrix листа QoS Test Matrix.	0.25	M	Для каждого WAN interface зафиксировать counters before/after и выполнить назначенный flow. На каждом output должны увеличиться правильные class counters без ошибочного попадания DSCP0 в EF/AF31. Начислить по 0,05 за полностью проверенный WAN output.
75	F9	Primary congestion behavior	Hierarchical QoS демонстрирует корректное поведение под congestion без превышения LLQ test rate.	Primary test: EF 0,6 Mbit/s, AF31 2,0 Mbit/s, DSCP0 4,4 Mbit/s, duration20 s. EF имеет минимальные loss/jitter; AF31 receive не менее 1,4 Mbit/s; class-default испытывает основную потерю/снижение throughput.	0.25	M	Использовать Q1–Q4 на листе QoS Test Matrix. 0,10 — EF внутри LLQ allocation и имеет минимальный loss; 0,10 — AF31 receive ≥1,4 Mbit/s; 0,05 — default class показывает congestion/drop evidence.
76	F10	Parent shaping	Aggregate output соответствует shaping 5,000,000 bit/s.	При offered load 7,0 Mbit/s средняя aggregate receive находится в диапазоне 4,5–5,2 Mbit/s; shape/queue/drop counters подтверждают congestion.	0.25	M	Использовать суммарные sender/receiver logs Q1–Q4 и `show policy-map interface`. Значения вне диапазона допускаются только при заранее зафиксированном отклонении smoke-tested image; такое отклонение должно быть одинаковым для всех участников.
77	G1	IP SLA 401	IR3 IP SLA401 соответствует заданию.	ICMP echo 172.20.100.1 source Tunnel100; frequency5; timeout1000; scheduled forever.	0.25	M	На IR3 выполнить `show ip sla configuration 401` и `show ip sla statistics 401`.
78	G2	IP SLA 402	BR1 IP SLA402 соответствует заданию.	Target/source/frequency/timeout/life как в G1.	0.25	M	На BR1 выполнить SLA configuration/statistics.
79	G3	IP SLA 403	BR2 IP SLA403 соответствует заданию.	Target/source/frequency/timeout/life как в G1.	0.25	M	На BR2 выполнить SLA configuration/statistics.
80	G4	Track objects	Track401/402/403 связаны с соответствующими IP SLA reachability operations.	Track numbers совпадают с SLA numbers; object type IP SLA reachability.	0.25	M	Выполнить `show track 401/402/403`. Начислить по 0,0833 за корректный object.
81	G5	Normal state	В штатном состоянии SLA operations успешны и tracks Up.	Latest return code OK; tracks401/402/403 Up.	0.25	M	Проверить SLA stats and track output. 0,0833 за устройство.
82	G6	Operational-only role	Track используется только как operational indicator и не управляет forwarding.	Track401/402/403 не связаны со static route или PBR; primary/backup path выбирает EIGRP metric. Down/Up timing оценивается только в I3 и I6.	0.25	M	Проверить `show track`, `show ip policy`, route tables и whitelist static routes из A8. 0,15 — track не участвует в static routing; 0,10 — PBR отсутствует.
83	H1	BR1 PAT	BR1 users используют local WAN PAT для Internet.	PC3 reaches 198.51.100.200; translation uses BR1 WAN address.	0.25	M	С PC3 сгенерировать Internet-test traffic; на BR1 выполнить `show ip nat translations` и `show ip nat statistics`.
84	H2	BR2 PAT	BR2 users используют local WAN PAT для Internet.	PC4 reaches Internet-test; translation uses BR2 WAN address.	0.25	M	Аналогично H1 на BR2.
85	H3	PAT/DMVPN coexistence	Private inter-site traffic не NAT-тится.	Traffic 10.100/16–10.103/16 сохраняет original source и не создает NAT translation.	0.25	M	Сгенерировать PC3→PC1/PC4/SVR1 и PC4→PC1/SVR1. Проверить destination-observed source и отсутствие corresponding translations.
86	H4	HQ/DC NAT baseline	HQ PAT и DC static NAT сохранены.	10.101.130.10 опубликован как 198.51.100.121; health endpoint доступен с PC3 и PC4.	0.25	M	С PC3/PC4 выполнить HTTP request к `http://198.51.100.121/healthz`; expected HTTP status/body берется из protected Expert Data. На IR3 проверить static translation and counters.
87	H5	Security baseline	SSH source restrictions и GUEST ACL сохранены.	JUDGE-SRV/management sources имеют SSH; user/GUEST запрещенные destinations блокируются; PC2 сохраняет allowed/denied matrix.	0.25	M	Выполнить SSH tests and PC2 acceptance matrix; проверить `show access-lists` counters.
88	H6	NTP/Syslog	NTP synchronization и remote Syslog продолжают работать.	Устройства synchronized; collector получает new interface/adjacency events.	0.25	M	Проверить `show ntp associations`, `show ntp status`, `show logging` и collector event.
89	H7	SNMPv3/NetFlow	SNMPv3 polling и NetFlow export сохранены.	JUDGE-SRV получает SNMPv3 system data; SVR1 получает flow records от required edges.	0.25	M	Использовать protected Expert credentials. Выполнить SNMP walk; сгенерировать traffic; проверить `show flow monitor`/exporter and collector.
90	H8	Independent endpoint acceptance	Независимые endpoint tests, не оцененные в H1–H7, проходят.	PC1/PC3/PC4 корректно разрешают DNS names; PC1 достигает SVR1; JUDGE-SRV имеет IP reachability ко всем Cisco Loopback0. NAT, ACL, SSH, SNMPv3 и telemetry повторно здесь не оцениваются.	0.25	M	Запустить отдельный acceptance set: DNS resolution с PC1/PC3/PC4; PC1↔SVR1; JUDGE-SRV ping всех Cisco Loopback0. Начислить 0,25 × число успешных независимых tests / total. Не снижать повторно за функцию H1–H7.
91	I1	Primary hub failure detection	Shutdown IR1 G0/3 удаляет primary control-plane state.	Tunnel100/NHRP/IPsec/EIGRP primary adjacencies исчезают; affected tracks transition Down.	0.25	M	Эксперт очищает existing shortcut, фиксирует time, shutdown IR1 G0/3. Проверить `show dmvpn`, NHRP, crypto, EIGRP neighbors and tracks.
92	I2	Traffic failover time	Remote summaries и functional traffic переходят на Tunnel200 не позднее 30 s.	BR1/BR2/IR3 route tables use backup cloud; inter-site traffic resumes ≤30 s.	0.25	M	Использовать continuous probes and timestamped route/neighbor checks. Оценивать переход, не базовую Cloud200 configuration, которая оценивается в C.
