AspectID	GroupID	HostKey	MaxMark	Description	VerificationCommands	ExpectedResult	WSOS
C1.01	C1	SHA-DC01	0.4	На SHA-DC01 создан forest и домен nb-b1.local	На SHA-DC01 выполнить `Get-ADDomain | Select DNSRoot,NetBIOSName` и `Get-ADForest | Select Name`.	DNSRoot = nb-b1.local; NetBIOSName = NBB1; forest name = nb-b1.local.	4
C1.02	C1	SHA-DC01	0.35	SHA-DC01 является Domain Controller, DNS Server и Global Catalog	Выполнить `Get-ADDomainController SHA-DC01` и `Get-WindowsFeature DNS` на SHA-DC01.	SHA-DC01 отображается как DC домена, DNS Server установлен, IsGlobalCatalog = True.	4
C1.03	C1	SHA-DC01	0.25	DNS client order на SHA-DC01 корректен после promotion	На SHA-DC01 выполнить `Get-DnsClientServerAddress -AddressFamily IPv4` для production-интерфейса.	Preferred DNS = 10.21.20.10; alternate DNS = 10.31.20.10.	4
C1.04	C1	SHA-DC01	0.25	OU-структура домена создана полностью	На SHA-DC01 выполнить `Get-ADOrganizationalUnit -Filter * | Select DistinguishedName`.	Существуют OU: 00-Servers\Shanghai, 00-Servers\Beijing, 10-Workstations\Shanghai, 10-Workstations\Beijing, 20-Users\IT/OPS/FIN/GUEST, 30-Groups, 40-ServiceAccounts.	4
C1.05	C1	SHA-DC01	0.25	Доменные группы созданы в OU 30-Groups	Выполнить `Get-ADGroup -Filter * -SearchBase 'OU=30-Groups,DC=nb-b1,DC=local'`.	Созданы все группы: GG_IT, GG_OPS, GG_FIN, GG_GUEST, GG_Shanghai_Users, GG_Beijing_Users, GG_LAPS_Readers, GG_File_Common_RW, GG_File_Common_RO, GG_File_IT_RW, GG_File_Beijing_RW.	4
C1.06	C1	SHA-DC01	0.3	Computer accounts серверов размещены в правильных OU	Выполнить `Get-ADComputer SHA-DC01,SHA-FS01,BJ-DC02,BJ-SRV01 -Properties DistinguishedName` или проверять по одному объекту.	SHA-DC01/SHA-FS01 находятся в 00-Servers\Shanghai; BJ-DC02/BJ-SRV01 находятся в 00-Servers\Beijing.	4
C1.07	C1	SHA-DC01	0.25	AD Sites Shanghai и Beijing созданы	На SHA-DC01 выполнить `Get-ADReplicationSite -Filter *`.	Существуют sites Shanghai и Beijing.	4
C1.08	C1	SHA-DC01	0.25	AD subnets привязаны к правильным sites	Выполнить `Get-ADReplicationSubnet -Filter * | Select Name,Site`.	10.21.20.0/24 и 10.21.30.0/24 привязаны к Shanghai; 10.31.20.0/24 и 10.31.30.0/24 привязаны к Beijing.	4
C1.09	C1	SHA-DC01	0.2	DMZ subnet не добавлен в AD Sites	Выполнить `Get-ADReplicationSubnet -Filter * | Where-Object Name -eq '10.21.10.0/24'`.	Subnet 10.21.10.0/24 отсутствует в AD Sites.	4
C1.10	C1	SHA-DC01	0.3	Site link Shanghai-Beijing настроен корректно	Выполнить `Get-ADReplicationSiteLink -Filter * | Select Name,Cost,ReplicationFrequencyInMinutes`.	Site link Shanghai-Beijing существует; Cost = 100; Replication interval = 15 minutes.	4
C1.11	C1	SHA-DC01	0.35	AD replication между SHA-DC01 и BJ-DC02 работает	На SHA-DC01 выполнить `repadmin /replsummary` и `repadmin /showrepl`.	Нет failed replication; оба DC реплицируются без ошибок.	4
C1.12	C1	SHA-DC01	0.25	SYSVOL и NETLOGON доступны на SHA-DC01	Выполнить `net share` на SHA-DC01 или `Test-Path \\SHA-DC01\SYSVOL` и `\\SHA-DC01\NETLOGON`.	SYSVOL и NETLOGON существуют и доступны.	4
C1.13	C1	SHA-DC01	0.3	AD-integrated зона nb-b1.local создана на SHA-DC01	Выполнить `Get-DnsServerZone -ComputerName SHA-DC01 -Name nb-b1.local`.	ZoneType = Primary, IsDsIntegrated = True.	3
C1.14	C1	SHA-DC01	0.25	Reverse lookup zones созданы на SHA-DC01	Выполнить `Get-DnsServerZone -ComputerName SHA-DC01`.	Существуют reverse zones для 10.21.10.0/24, 10.21.20.0/24, 10.21.30.0/24, 10.31.20.0/24, 10.31.30.0/24, 198.18.100.0/24, 198.18.101.0/24, 198.18.200.0/24, 198.18.201.0/24.	3
C1.15	C1	SHA-DC01	0.35	A и CNAME записи задания существуют в DNS на SHA-DC01	Выполнить `Resolve-DnsName <record>.nb-b1.local -Server 10.21.20.10` для sha-rtr01, sha-dc01, sha-fs01, bj-rtr01, bj-dc02, bj-srv01, sha-web01, sha-app01, files, bj-files, intranet.	Все записи возвращают ожидаемые IP или canonical name согласно заданию.	3
C1.16	C1	SHA-DC01	0.3	PTR-записи созданы для всех A-записей	Выполнить `Resolve-DnsName <IP> -Server 10.21.20.10` для IP всех A-записей.	PTR указывает на правильные FQDN.	3
C1.17	C1	SHA-DC01	0.25	AD DS SRV-записи доступны на SHA-DC01	Выполнить `Resolve-DnsName _ldap._tcp.dc._msdcs.nb-b1.local -Type SRV -Server 10.21.20.10` и `_kerberos._tcp.nb-b1.local`.	Возвращаются SHA-DC01 и BJ-DC02.	3
C1.18	C1	SHA-DC01	0.2	DNS forwarder на SHA-DC01 указывает на INET-SRV01	Выполнить `Get-DnsServerForwarder -ComputerName SHA-DC01`.	Forwarder содержит 198.18.200.10.	3
C1.19	C1	SHA-DC01	0.25	GPO-B1-Domain-Baseline создана и привязана к домену	Выполнить `Get-GPO -Name GPO-B1-Domain-Baseline` и `Get-GPInheritance -Target 'DC=nb-b1,DC=local'`.	GPO существует и связана с domain level.	4
C1.20	C1	SHA-DC01	0.3	Domain baseline settings настроены в GPO	Создать XML `Get-GPOReport -Name GPO-B1-Domain-Baseline -ReportType Xml`; проверить login banner, NB_TRAINING=B1, LM hash prevention и Windows Update Friday 13:00.	Все baseline settings присутствуют в GPO report.	4
C1.21	C1	SHA-DC01	0.3	Windows LAPS AD schema подготовлена	Выполнить `Get-ADObject -SearchBase (Get-ADRootDSE).SchemaNamingContext -LDAPFilter '(lDAPDisplayName=msLAPS-PasswordExpirationTime)'`.	Атрибут Windows LAPS существует в AD schema.	4
C1.22	C1	SHA-DC01	0.25	Делегирование чтения LAPS настроено для GG_LAPS_Readers	Выполнить `Find-LapsADExtendedRights -Identity 'OU=10-Workstations,DC=nb-b1,DC=local'` или проверить ACL OU вручную.	GG_LAPS_Readers имеет право чтения Windows LAPS password.	4
C1.23	C1	SHA-DC01	0.35	Fine-grained password policy для GG_FIN настроена	Выполнить `Get-ADFineGrainedPasswordPolicy -Filter *` и `Get-ADFineGrainedPasswordPolicySubject <policy>`.	MinPasswordLength=14, ComplexityEnabled=True, MaxPasswordAge=30 days, Precedence=10, subject = GG_FIN.	4
D1.01	D1	BJ-DC02	0.4	BJ-DC02 является additional DC, DNS Server и Global Catalog	На SHA-DC01 или BJ-DC02 выполнить `Get-ADDomainController BJ-DC02` и `Get-WindowsFeature DNS`.	BJ-DC02 добавлен в существующий домен nb-b1.local; DNS Server установлен; IsGlobalCatalog = True.	4
D1.02	D1	BJ-DC02	0.25	DNS client order на BJ-DC02 корректен после promotion	На BJ-DC02 выполнить `Get-DnsClientServerAddress -AddressFamily IPv4`.	Preferred DNS = 10.31.20.10; alternate DNS = 10.21.20.10.	4
D1.03	D1	BJ-DC02	0.25	BJ-DC02 расположен в site Beijing	Выполнить `Get-ADDomainController BJ-DC02 | Select HostName,Site`.	Site = Beijing.	4
D1.04	D1	BJ-DC02	0.3	SYSVOL и NETLOGON доступны на BJ-DC02	Выполнить `Test-Path \\BJ-DC02\SYSVOL` и `Test-Path \\BJ-DC02\NETLOGON`.	Обе shares доступны.	4
D1.05	D1	BJ-DC02	0.3	AD replication с точки зрения BJ-DC02 без ошибок	На BJ-DC02 выполнить `repadmin /showrepl`.	Нет failed inbound replication.	4
D1.06	D1	BJ-DC02	0.3	DNS-зона nb-b1.local реплицирована на BJ-DC02	Выполнить `Get-DnsServerZone -ComputerName BJ-DC02 -Name nb-b1.local`.	AD-integrated zone доступна на BJ-DC02.	3
D1.07	D1	BJ-DC02	0.3	BJ-DC02 разрешает основные внутренние записи и SRV-записи	Выполнить `Resolve-DnsName sha-dc01.nb-b1.local -Server 10.31.20.10`, `bj-dc02.nb-b1.local`, `_ldap._tcp.dc._msdcs.nb-b1.local -Type SRV`.	Имена и SRV records разрешаются корректно на Beijing DNS.	3
D1.08	D1	BJ-DC02	0.2	DNS forwarder на BJ-DC02 указывает на INET-SRV01	Выполнить `Get-DnsServerForwarder -ComputerName BJ-DC02`.	Forwarder содержит 198.18.200.10.	3
D1.09	D1	BJ-DC02	0.1	DC health на BJ-DC02 проходит базовую проверку	На BJ-DC02 выполнить `dcdiag /test:advertising /test:dns`.	Advertising и DNS tests проходят без critical failures.	6
E1.01	E1	SHA-FS01	0.25	SHA-FS01 hostname, IP и domain join корректны	На SHA-FS01 выполнить `hostname`, `Get-NetIPConfiguration`; в AD проверить `Get-ADComputer SHA-FS01 -Properties DistinguishedName`.	Hostname = SHA-FS01; IP = 10.21.20.20/24; DNS указывает на внутренние DC; computer account в 00-Servers\Shanghai.	3
E1.02	E1	SHA-FS01	0.2	SHA-FS01 управляется удалённо как Server Core	С SHA-CL01 выполнить `Test-WSMan SHA-FS01` и/или `Invoke-Command -ComputerName SHA-FS01 -ScriptBlock { hostname }`.	PowerShell Remoting/WinRM работает для администрирования SHA-FS01.	5
E1.03	E1	SHA-FS01	0.3	DHCP role на SHA-FS01 установлена и авторизована в AD	Выполнить `Get-DhcpServerInDC` и `Get-WindowsFeature DHCP -ComputerName SHA-FS01`.	SHA-FS01 отображается как authorized DHCP server; DHCP role installed.	4
E1.04	E1	SHA-FS01	0.35	DHCP scope Shanghai-ClientNet создан с правильным диапазоном	Выполнить `Get-DhcpServerv4Scope -ComputerName SHA-FS01`.	Scope 10.21.30.0/24; диапазон 10.21.30.100-10.21.30.200; exclusion 10.21.30.100-10.21.30.119.	4
E1.05	E1	SHA-FS01	0.3	DHCP options Shanghai scope настроены корректно	Выполнить `Get-DhcpServerv4OptionValue -ComputerName SHA-FS01 -ScopeId 10.21.30.0`.	Router 10.21.30.1; DNS 10.21.20.10 и 10.31.20.10; suffix nb-b1.local; lease duration 8 days.	4
E1.06	E1	SHA-FS01	0.2	DHCP dynamic DNS settings включены на SHA-FS01	Выполнить `Get-DhcpServerv4DnsSetting -ComputerName SHA-FS01`.	Dynamic updates включены согласно заданию; DHCP регистрирует A/PTR records.	4
E1.07	E1	SHA-FS01	0.35	На SHA-FS01 созданы shares Common, IT и Home$	Выполнить `Get-SmbShare -CimSession SHA-FS01`.	Существуют SMB shares Common, IT, Home$ с правильными путями C:\Shares\Common, C:\Shares\IT, C:\Shares\Home.	4
E1.08	E1	SHA-FS01	0.35	NTFS permissions для Common настроены корректно	На SHA-FS01 проверить `Get-Acl C:\Shares\Common` и фактический доступ под IT/OPS/FIN/GUEST.	GG_File_Common_RW имеет Modify; GG_File_Common_RO имеет ReadAndExecute; GUEST только read-only.	4
E1.09	E1	SHA-FS01	0.25	NTFS permissions для IT share настроены корректно	Проверить `Get-Acl C:\Shares\IT` и фактический доступ под IT/non-IT пользователями.	IT доступен только GG_File_IT_RW и Domain Admins; non-IT users доступа не имеют.	4
E1.10	E1	SHA-FS01	0.45	Home folders созданы и закрыты от чужих пользователей	Проверить наличие C:\Shares\Home\<username> и ACL; выполнить тест доступа под двумя разными пользователями.	У каждого пользователя есть личная папка; владелец Modify; Domain Admins Full Control; другие пользователи доступа не имеют.	4
F1.01	F1	BJ-SRV01	0.25	BJ-SRV01 hostname, IP и domain join корректны	На BJ-SRV01 выполнить `hostname`, `Get-NetIPConfiguration`; в AD проверить `Get-ADComputer BJ-SRV01 -Properties DistinguishedName`.	Hostname = BJ-SRV01; IP = 10.31.20.20/24; DNS указывает на внутренние DC; computer account в 00-Servers\Beijing.	3
F1.02	F1	BJ-SRV01	0.3	DHCP role на BJ-SRV01 установлена и авторизована в AD	Выполнить `Get-DhcpServerInDC` и `Get-WindowsFeature DHCP -ComputerName BJ-SRV01`.	BJ-SRV01 отображается как authorized DHCP server; DHCP role installed.	4
F1.03	F1	BJ-SRV01	0.35	DHCP scope Beijing-ClientNet создан с правильным диапазоном	Выполнить `Get-DhcpServerv4Scope -ComputerName BJ-SRV01`.	Scope 10.31.30.0/24; диапазон 10.31.30.100-10.31.30.200; exclusion 10.31.30.100-10.31.30.119.	4
F1.04	F1	BJ-SRV01	0.25	DHCP options Beijing scope настроены корректно	Выполнить `Get-DhcpServerv4OptionValue -ComputerName BJ-SRV01 -ScopeId 10.31.30.0`.	Router 10.31.30.1; DNS 10.31.20.10 и 10.21.20.10; suffix nb-b1.local; lease duration 8 days.	4
F1.05	F1	BJ-SRV01	0.15	DHCP dynamic DNS settings включены на BJ-SRV01	Выполнить `Get-DhcpServerv4DnsSetting -ComputerName BJ-SRV01`.	Dynamic updates включены согласно заданию.	4
F1.06	F1	BJ-SRV01	0.25	На BJ-SRV01 создан Branch share	Выполнить `Get-SmbShare -Name Branch -CimSession BJ-SRV01` и проверить путь.	Share Branch существует и указывает на C:\Shares\Branch.	4
F1.07	F1	BJ-SRV01	0.35	NTFS/SMB permissions для Branch настроены корректно	Проверить `Get-Acl C:\Shares\Branch` на BJ-SRV01 и фактический доступ под Beijing/Shanghai/GUEST пользователями.	GG_File_Beijing_RW имеет Modify; Domain Admins Full Control; GUEST и пользователи без членства не имеют доступа.	4
F1.08	F1	BJ-SRV01	0.1	BJ-SRV01 управляется удалённо	С SHA-CL01 или BJ-DC02 выполнить `Test-WSMan BJ-SRV01` и/или `Invoke-Command -ComputerName BJ-SRV01 -ScriptBlock { hostname }`.	Удалённое администрирование BJ-SRV01 работает.	5
G1.01	G1	SHA-CL01	0.25	SHA-CL01 получает DHCP-адрес из Shanghai scope	На SHA-CL01 выполнить `ipconfig /all` или `Get-NetIPConfiguration`; на SHA-FS01 проверить lease.	IPv4 находится в диапазоне 10.21.30.120-10.21.30.200; gateway 10.21.30.1; DNS 10.21.20.10/10.31.20.10.	4
G1.02	G1	SHA-CL01	0.25	SHA-CL01 введён в домен и расположен в правильной OU	На SHA-CL01 выполнить `(Get-CimInstance Win32_ComputerSystem).PartOfDomain`; в AD проверить DistinguishedName.	PartOfDomain=True; computer account в 10-Workstations\Shanghai.	4
G1.03	G1	SHA-CL01	0.3	GPO-B1-Workstations-Security применена на SHA-CL01	На SHA-CL01 выполнить `gpupdate /force`, затем `gpresult /h C:\Temp\gp.html` или `gpresult /r`.	GPO-B1-Workstations-Security присутствует в applied GPOs.	4
G1.04	G1	SHA-CL01	0.25	Firewall/ICMP/RDP baseline фактически применён на SHA-CL01	Проверить `Get-NetFirewallProfile -Profile Domain`, ICMP Echo rule и членство/права RDP через `Get-LocalGroupMember 'Remote Desktop Users'` и gpresult.	Domain Firewall включён; ICMP Echo разрешён; RDP не открыт для лишних пользователей.	4
G1.05	G1	SHA-CL01	0.35	Windows LAPS password сохранён в AD для SHA-CL01	На SHA-DC01 выполнить `Get-LapsADPassword -Identity SHA-CL01 -AsPlainText`; при отсутствии cmdlet проверить msLAPS-* attributes.	Для SHA-CL01 существует актуальный Windows LAPS password in AD.	4
G1.06	G1	SHA-CL01	0.35	BitLocker включён на диске D: SHA-CL01	На SHA-CL01 выполнить `Get-BitLockerVolume -MountPoint D:` и `manage-bde -status D:`.	D: NTFS; ProtectionStatus = On; recovery password protector существует.	4
G1.07	G1	SHA-CL01	0.35	BitLocker recovery information для SHA-CL01 сохранена в AD	Выполнить `$comp=Get-ADComputer SHA-CL01; Get-ADObject -SearchBase $comp.DistinguishedName -LDAPFilter '(objectClass=msFVE-RecoveryInformation)' -Properties msFVE-RecoveryPassword`.	Под объектом SHA-CL01 есть msFVE-RecoveryInformation с recovery password.	4
G1.08	G1	SHA-CL01	0.25	CSV-файл b1-users.csv создан корректно	На SHA-CL01 выполнить `Import-Csv C:\Skills\b1-users.csv | Format-Table`.	CSV содержит поля FirstName, LastName, Department, Site и 8 пользователей согласно заданию.	5
G1.09	G1	SHA-CL01	0.35	Import-B1Users.ps1 реализует требуемое создание пользователей и membership	Просмотреть `C:\Skills\Import-B1Users.ps1`; запустить с `-CsvPath`; проверить пользователей через `Get-ADUser` и группы через `Get-ADGroupMember`.	Пользователи созданы в правильных OU, включены, имеют правильный UPN, пароль и membership по Department/Site/File groups.	5
G1.10	G1	SHA-CL01	0.35	Import-B1Users.ps1 идемпотентен	Запустить скрипт дважды; проверить отсутствие ошибок и дублей пользователей/членств/папок.	Повторный запуск не создаёт дубли и не ломает ACL/home folders.	5
G1.11	G1	SHA-CL01	0.35	Drive mapping на SHA-CL01 работает для пользователей Shanghai/IT/GUEST	Войти на SHA-CL01 под it.amina и guest.aliya; проверить `net use`.	IT получает T:, I:, H:; GUEST получает T: read-only и H:, не получает I:.	4
G1.12	G1	SHA-CL01	0.35	Фактические права доступа к Common/IT/Home проверены с SHA-CL01	Под разными пользователями выполнить create/read/delete tests в `\\files\Common`, `\\files\IT`, `\\SHA-FS01\Home$\%USERNAME%`.	IT/OPS/FIN пишут в Common; GUEST только читает Common; только IT имеет доступ к IT; home folders изолированы.	4
G1.13	G1	SHA-CL01	0.25	Cross-site DNS/SMB validation с SHA-CL01 проходит	На SHA-CL01 выполнить `Resolve-DnsName bj-dc02.nb-b1.local`, `Resolve-DnsName bj-files.nb-b1.local`, `Test-NetConnection bj-srv01.nb-b1.local -Port 445`.	Beijing имена разрешаются; SMB порт BJ-SRV01 доступен через static routes.	3
G1.14	G1	SHA-CL01	0.25	Git repository и final commit созданы на SHA-CL01	Выполнить `git -C C:\Skills status` и `git -C C:\Skills log --oneline -1`.	В репозитории есть b1-users.csv, Import-B1Users.ps1 и B1-selfcheck.txt; последний commit message = final commit.	5
G1.15	G1	SHA-CL01	0.25	B1-selfcheck.txt содержит итоговую самопроверку	Открыть `C:\Skills\B1-selfcheck.txt`.	Файл содержит команды самопроверки и краткие результаты по routing, AD, DNS, DHCP, GPO, LAPS, BitLocker, file access.	6
H1.01	H1	BJ-CL01	0.25	BJ-CL01 получает DHCP-адрес из Beijing scope	На BJ-CL01 выполнить `ipconfig /all` или `Get-NetIPConfiguration`; на BJ-SRV01 проверить lease.	IPv4 находится в диапазоне 10.31.30.120-10.31.30.200; gateway 10.31.30.1; DNS 10.31.20.10/10.21.20.10.	4
H1.02	H1	BJ-CL01	0.25	BJ-CL01 введён в домен и расположен в правильной OU	На BJ-CL01 выполнить `(Get-CimInstance Win32_ComputerSystem).PartOfDomain`; в AD проверить DistinguishedName.	PartOfDomain=True; computer account в 10-Workstations\Beijing.	4
H1.03	H1	BJ-CL01	0.25	GPO-B1-Workstations-Security применена на BJ-CL01	На BJ-CL01 выполнить `gpupdate /force`, затем `gpresult /h C:\Temp\gp.html` или `gpresult /r`.	GPO-B1-Workstations-Security присутствует в applied GPOs.	4
H1.04	H1	BJ-CL01	0.3	Windows LAPS password сохранён в AD для BJ-CL01	На SHA-DC01 выполнить `Get-LapsADPassword -Identity BJ-CL01 -AsPlainText`; при отсутствии cmdlet проверить msLAPS-* attributes.	Для BJ-CL01 существует актуальный Windows LAPS password in AD.	4
H1.05	H1	BJ-CL01	0.35	Drive mapping на BJ-CL01 работает для Beijing users	Войти на BJ-CL01 под branch/Beijing пользователем, например arman.kairat или dana.serik; проверить `net use`.	Beijing user получает T:, B:, H: согласно членству; GUEST не получает B:.	4
H1.06	H1	BJ-CL01	0.3	Фактический доступ к Branch share проверен с BJ-CL01	Под Beijing non-GUEST пользователем создать файл в `\\bj-files.nb-b1.local\Branch`; под GUEST проверить отказ.	Beijing non-GUEST имеет Modify; GUEST доступа к Branch не имеет.	4
H1.07	H1	BJ-CL01	0.2	Cross-site DNS/SMB validation с BJ-CL01 проходит	На BJ-CL01 выполнить `Resolve-DnsName sha-dc01.nb-b1.local`, `Resolve-DnsName files.nb-b1.local`, `Test-NetConnection sha-fs01.nb-b1.local -Port 445`.	Shanghai имена разрешаются; SMB порт SHA-FS01 доступен через static routes.	3
H1.08	H1	BJ-CL01	0.1	Внешнее тестовое имя через DNS forwarder разрешается с BJ-CL01	На BJ-CL01 выполнить `Resolve-DnsName www.internet.lab` или другое заранее заданное имя simulated Internet.	Имя simulated Internet разрешается через внутренние DNS forwarders.	3
I1.01	I1	SHA-WEB01	0.12	SHA-WEB01 имеет корректный hostname, IP и gateway	На SHA-WEB01 выполнить `hostname` и `Get-NetIPConfiguration`.	Hostname = SHA-WEB01; IP = 10.21.10.11/24; gateway = 10.21.10.1.	3
I1.02	I1	SHA-WEB01	0.1	SHA-WEB01 остаётся workgroup host	Выполнить `(Get-CimInstance Win32_ComputerSystem).PartOfDomain` и `.Domain`.	PartOfDomain=False; AD computer account для SHA-WEB01 отсутствует.	4
I1.03	I1	SHA-WEB01	0.13	SHA-WEB01 имеет DNS/PTR-записи и доступен для проверки	С SHA-CL01 выполнить `Resolve-DnsName sha-web01.nb-b1.local` и `Test-Connection sha-web01.nb-b1.local`.	A/PTR корректны; host доступен по маршрутам.	3
J1.01	J1	SHA-APP01	0.12	SHA-APP01 имеет корректный hostname, IP и gateway	На SHA-APP01 выполнить `hostname` и `Get-NetIPConfiguration`.	Hostname = SHA-APP01; IP = 10.21.10.12/24; gateway = 10.21.10.1.	3
J1.02	J1	SHA-APP01	0.1	SHA-APP01 остаётся workgroup host	Выполнить `(Get-CimInstance Win32_ComputerSystem).PartOfDomain` и `.Domain`.	PartOfDomain=False; AD computer account для SHA-APP01 отсутствует.	4
J1.03	J1	SHA-APP01	0.13	SHA-APP01 имеет DNS/PTR-записи и доступен для проверки	С SHA-CL01 выполнить `Resolve-DnsName sha-app01.nb-b1.local` и `Test-Connection sha-app01.nb-b1.local`.	A/PTR корректны; host доступен по маршрутам.	3
K1.01	K1	INET-SRV01	0.2	Internet-zone addressing соответствует фактически подготовленному плану	На INET-SRV01, INET-CL01, ISP-SHA01 и ISP-BJ01 выполнить `hostname` и `Get-NetIPConfiguration`; на SHA-RTR01/BJ-RTR01 проверить route/reachability к Internet-zone сетям.	INET-SRV01 = 198.18.200.10/24 gw 198.18.200.1; INET-CL01 = 198.18.201.10/24 gw 198.18.201.1; ISP-SHA01 = 198.18.100.1/24, 198.18.200.1/24, 203.0.113.2/30; ISP-BJ01 = 198.18.101.1/24, 198.18.201.1/24, 203.0.113.1/30.	3
K1.02	K1	INET-SRV01	0.2	Simulated Internet test services and DNS forwarding path работают	С SHA-RTR01 и BJ-RTR01 выполнить `Test-Connection 198.18.200.10` и `Test-Connection 198.18.201.10`; с внутренних клиентов выполнить `Resolve-DnsName www.internet.lab`; при наличии HTTP выполнить `Test-NetConnection 198.18.200.10 -Port 80`.	INET-SRV01/INET-CL01 доступны через simulated Internet; внутренние DNS forwarders используют INET-SRV01 198.18.200.10; тестовое имя simulated Internet разрешается.	3
