CriterionID	Subsection	Description	MaxMark	RunFrom	Commands	ExpectedResult	Notes
B1.04	DNS authoritative service and resilience	Zone transfer policy is correct.	0.25	network-a6 and ops-a6	Source: network-a6 and ops-a6. Run `dig AXFR nova.a6.test @10.76.40.10`. Expected: success from network-a6, REFUSED/failed from ops-a6.	AXFR from network-a6 to directory-a6 succeeds; AXFR from an ordinary client is denied.	No additional note.
B1.05	DNS authoritative service and resilience	Recursive service is permitted internally and denied from WAN source.	0.25	directory-a6 / network-a6 / clients	Internal source: run `dig @10.76.40.10 example.invalid A +recurse`. Expected: any legitimate resolver result/status except REFUSED. WAN source: on sz-edge-a6 run `dig -b 198.18.76.20 @10.76.40.10 example.invalid A +recurse`. Expected: REFUSED/recursion denied. Internet success is not required.	Internal recursive requests are not REFUSED; a source bound to Shenzhen WAN 198.18.76.20 is denied recursion.	No additional note.
B1.06	DNS authoritative service and resilience	Both DHCP clients use both internal DNS servers and the required search domain.	0.25	sh-user-a6 and ops-a6	Source: sh-user-a6 and ops-a6. Run `resolvectl status` or the equivalent resolver-state command. Expected: both DNS servers and search domain on both clients.	Resolver state contains 10.76.40.10, 10.76.40.20 and nova.a6.test.	No additional note.
B1.07	DNS authoritative service and resilience	Client name resolution survives primary DNS failure without configuration changes.	0.5	expert-controlled test	Source: expert-controlled test. Stop bind9 on directory-a6, flush client resolver cache, then run `getent ahostsv4 portal.nova.a6.test` on sh-user-a6. Expected: 10.76.30.10. Restart bind9 and verify active state before continuing.	With bind9 stopped on directory-a6, an internal client still resolves an internal FQDN through network-a6.	No additional note.
C1.01	OpenLDAP, PKI and SSSD identity services	LDAP directory structure, users, groups, IDs and memberships are correct.	0.5	directory-a6	Source: directory-a6. Use privileged `ldapsearch` or `slapcat` for People/Groups. Expected: exact DNs, uidNumber/gidNumber and memberships.	Suffix/OU structure exists. maya UID 8601; timur UID 8602. linuxusers GID 7600; filewriters GID 7601; webadmins GID 7610. Membership matches the task.	No additional note.
C1.02	OpenLDAP, PKI and SSSD identity services	ldap-reader can bind and perform required read/search operations.	0.25	ops-a6 or another trusted client	Source: ops-a6 or another trusted client. Run `ldapwhoami -x -ZZ` and a targeted `ldapsearch -ZZ` using ldap-reader with trusted CA. Expected: successful bind and readable permitted attributes.	uid=ldap-reader,ou=Services,... authenticates using Reader39@A6 and can read/search identity/group attributes.	No additional note.
C1.03	OpenLDAP, PKI and SSSD identity services	ldap-reader cannot modify directory data.	0.25	directory-a6/ops-a6	Source: directory-a6/ops-a6. Attempt to modify only the `description` attribute of `uid=timur,ou=People,...` using ldap-reader. Expected: `Insufficient access (50)` or equivalent; immediately query the entry and confirm the attribute was not changed.	Write access is denied without changing the directory.	No additional note.
C1.04	OpenLDAP, PKI and SSSD identity services	Anonymous LDAP access is restricted to safe RootDSE information.	0.25	client	Source: client. Run anonymous base search on `-b '' -s base`, then anonymous search under `ou=People,...` requesting `uid,userPassword`. Expected: RootDSE readable; protected directory/password data not disclosed.	Anonymous RootDSE base query succeeds. Anonymous browsing of ou=People and reading password attributes is denied/returns no protected data.	No additional note.
C1.05	OpenLDAP, PKI and SSSD identity services	LDAP StartTLS certificate chain and SAN validation are correct.	0.5	trusted client	Source: trusted client. Run `openssl s_client -starttls ldap -connect ldap.nova.a6.test:389 -verify_return_error -CAfile <CA-file>`. Expected: Verify return code 0 and SAN includes ldap.nova.a6.test.	LDAP certificate is issued by the local CA, contains SAN ldap.nova.a6.test, and validates without disabling certificate checks.	No additional note.
C1.06	OpenLDAP, PKI and SSSD identity services	SSSD resolves LDAP identities on all three required hosts with no local Unix duplicates.	0.5	directory-a6 / SSSD hosts	On each host run `getent passwd maya`, `getent passwd timur`, `id maya`, `id timur`, and `getent -s files passwd maya timur` (or inspect /etc/passwd). Expected: correct LDAP IDs/groups; no local copies.	sh-user-a6, ops-a6 and services-a6 resolve maya/timur and required groups from LDAP; no maya/timur records exist in the local files database.	No additional note.
C1.07	OpenLDAP, PKI and SSSD identity services	PAM authentication using LDAP credentials works on the client host.	0.25	sh-user-a6	Source: sh-user-a6. Perform a safe PAM test using `pamtester`, local login, or equivalent approved method. Expected: authentication succeeds and SSSD is the identity/authentication backend.	maya can authenticate through PAM/SSSD on sh-user-a6 using Skill39@A6.	No additional note.
C1.08	OpenLDAP, PKI and SSSD identity services	SSSD/LDAP clients enforce StartTLS and CA validation on all required hosts.	0.5	directory-a6 / SSSD hosts	Inspect SSSD/LDAP client configuration on all three hosts and perform one verified `ldapsearch -ZZ` from each host. Expected: trusted TLS succeeds and no certificate-validation bypass is configured.	sh-user-a6, ops-a6 and services-a6 use LDAP TLS with trusted CA; TLS_REQCERT=never/insecure_skip_verify or equivalent bypass is absent.	No additional note.
D1.01	NFSv4 and SMB shared file services	NFSv4 and SMB expose the same underlying dataset.	0.25	services-a6	Source: services-a6. Run `exportfs -v` and `testparm -s`. Expected: both NFS export and [team] share resolve to /srv/files/team.	Both protocols use /srv/files/team; there is no duplicate/synchronized copy.	No additional note.
D1.02	NFSv4 and SMB shared file services	POSIX ownership and default ACL enforce the required policy for existing and newly created objects.	0.5	services-a6	Source: services-a6. Run `namei -l /srv/files/team` and `getfacl /srv/files/team`. Expected: effective ACL and default ACL/setgid design supports the task policy; confirm with temporary create/read tests.	filewriters has write; linuxusers has read. New files/directories inherit permissions without manual chmod/chown.	No additional note.
D1.03	NFSv4 and SMB shared file services	NFSv4 export policy is correct.	0.25	services-a6	Source: services-a6. Run `exportfs -v` and inspect NFS listener. Expected: permitted networks only, root_squash present, NFSv4 service active.	NFSv4 TCP/2049 export permits only 10.76.10.0/24 and 10.76.20.0/24 and uses root_squash.	No additional note.
D1.04	NFSv4 and SMB shared file services	Shanghai client mounts the NFS share through the private/WireGuard path.	0.25	sh-user-a6/sh-edge-a6	Source: sh-user-a6/sh-edge-a6. Mount or inspect the active mount; run `nfsstat -m` (or `mount`) and `ip route get 10.76.30.10` on sh-edge-a6. Expected: NFS version 4 and route via wg0.	sh-user-a6 accesses files.nova.a6.test via NFSv4 and the route to 10.76.30.10 is through wg0.	No additional note.
D1.05	NFSv4 and SMB shared file services	SMB authentication/authorization policy matches the task.	0.5	services-a6	Source: services-a6. Run `testparm -s`. Expected: effective share policy implements guest denial, linuxusers restriction and filewriters write rule. From a client, `smbclient -L //files.nova.a6.test -N` must not obtain guest share access.	Share [team] points to /srv/files/team; guest access is disabled; valid users are restricted to linuxusers; write is permitted only for filewriters.	No additional note.
D1.06	NFSv4 and SMB shared file services	SMB authentication works for maya and timur using LDAP-backed Unix identities.	0.25	services-a6/client	Source: services-a6/client. Confirm `getent passwd maya timur`; then run authenticated `smbclient` connections for both users. Expected: both can open/list the share; Unix identities are LDAP-backed.	maya and timur authenticate to [team] with Skill39@A6 while their Unix UID/GID comes from SSSD/LDAP.	No additional note.
D1.07	NFSv4 and SMB shared file services	Cross-protocol visibility works in both directions with no copy/sync step.	0.5	services-a6 / sh-user-a6	Create two uniquely named temporary files as maya: one through the NFS mount and one through `smbclient`. Expected: each is immediately visible/readable through the other protocol. Remove test files after verification.	A file created by maya through NFS is immediately readable through SMB, and a file created by maya through SMB is immediately readable through NFS.	No additional note.
D1.08	NFSv4 and SMB shared file services	maya and timur have the required effective permissions through both protocols.	0.75	services-a6 / sh-user-a6	Run a controlled permission matrix using temporary files through NFSv4 and SMB. Expected: every maya write operation succeeds and every prohibited timur write operation fails while timur read/list succeeds. No manual chmod/chown between protocol tests.	maya can create, modify, rename and delete via NFS and SMB. timur can list/read via both but cannot create, modify, rename or delete.	This higher-value aspect assesses the complete end-user file-access policy; award 0 or 0.75 only.
E1.01	HTTPS web and mail services	HTTPS portal is available and contains the required page text.	0.25	trusted internal client	Source: trusted internal client. Run `curl --cacert <CA-file> -fsS https://portal.nova.a6.test/`. Expected: HTTP 200 and required text.	https://portal.nova.a6.test/ returns HTTP 200 and contains NOVA A6 SERVICES.	No additional note.
E1.02	HTTPS web and mail services	Web certificate validates and contains both required SAN names.	0.25	services-a6 / clients	Run `openssl s_client -connect portal.nova.a6.test:443 -servername portal.nova.a6.test -verify_return_error -CAfile <CA-file>`. Expected: Verify return code 0 and both SAN names.	SAN contains portal.nova.a6.test and portal-public.nova.a6.test; chain validates to the local CA.	No additional note.
E1.03	HTTPS web and mail services	HTTP redirects to HTTPS.	0.25	services-a6 / clients	Run `curl -I http://portal.nova.a6.test/`. Expected: 3xx status and Location beginning `https://portal.nova.a6.test/`.	http://portal.nova.a6.test/ returns a 3xx redirect to the HTTPS URL.	No additional note.
E1.04	HTTPS web and mail services	`/staff/` uses LDAP authentication over CA-validated StartTLS.	0.5	services-a6 / clients	Inspect the active Apache auth configuration and CA/TLS settings; perform a successful maya authentication. Expected: LDAP/StartTLS path is used and no insecure validation bypass is present.	Apache authentication is backed by LDAP and certificate validation is not disabled.	No additional note.
E1.05	HTTPS web and mail services	`/staff/` authorization follows webadmins membership.	0.5	services-a6 / clients	Run three requests: anonymous, maya:Skill39@A6, timur:Skill39@A6. Expected: anonymous denied, maya 200, timur denied after authentication.	Anonymous is denied; maya receives HTTP 200; timur authenticates but is denied authorization.	No additional note.
E1.06	HTTPS web and mail services	Postfix/Dovecot base mail configuration is correct.	0.25	services-a6 / clients	Run `systemctl is-active postfix dovecot`, `postconf`, `doveconf`, and `ss -ltnp`. Expected: active services, local domain, Maildir and required listeners.	services-a6 serves nova.a6.test; Postfix and Dovecot are active; Maildir is used; listeners exist on 25, 587 and 993.	No additional note.
E1.07	HTTPS web and mail services	SMTP TCP/25 accepts local-domain delivery without imposing an unstated STARTTLS requirement.	0.25	internal client	Source: internal client. Use `nc`/`telnet`/equivalent to TCP/25 and issue EHLO, MAIL FROM, RCPT TO for timur@nova.a6.test. Expected: local recipient accepted. STARTTLS on port 25 is not required for this aspect.	A normal SMTP dialogue can submit mail to a valid local recipient according to the task policy.	No additional note.
E1.08	HTTPS web and mail services	Submission TCP/587 requires TLS and authenticated submission.	0.5	services-a6 / clients	Check EHLO capabilities on 587. Attempt submission without auth -> denied. Repeat with STARTTLS and maya credentials -> accepted for local recipient. Inspect active SASL/PAM/SSSD backend as needed.	STARTTLS is offered/required on 587; unauthenticated submission is not accepted; maya authentication succeeds using the required identity stack.	No additional note.
E1.09	HTTPS web and mail services	IMAPS TCP/993 validates TLS and accepts LDAP-backed user credentials.	0.25	services-a6 / clients	Use `curl --cacert <CA-file> --user <user>:Skill39@A6 imaps://mail.nova.a6.test:993/INBOX` for both users. Expected: TLS verification and login succeed.	maya and timur can authenticate to IMAPS; TLS certificate validation succeeds.	No additional note.
E1.10	HTTPS web and mail services	Mail certificate contains both required SAN names.	0.25	services-a6 / clients	Run `openssl s_client` against 993 (and/or 587 STARTTLS) with `-verify_return_error -CAfile <CA-file>`. Expected: Verify return code 0 and both SAN names.	SAN contains mail.nova.a6.test and mail-public.nova.a6.test and validates to the local CA.	No additional note.
E1.11	HTTPS web and mail services	Mail is local-domain-only and the required message is delivered end-to-end.	0.5	services-a6 / clients	First test RCPT to `user@example.invalid` on TCP/25 without auth and on 587 with authenticated maya: both must be rejected. Then send a unique A6-MAIL-TEST message via authenticated 587 and search/fetch it from timur INBOX via IMAPS. Expected: external relay denied in both cases and local message retrieved.	External recipient is rejected both without authentication and with authenticated Submission. maya sends subject A6-MAIL-TEST to timur via 587; timur retrieves it via IMAPS/993.	No additional note.
F1.01	nftables firewall and NAT	nftables is persistent, stateful and default-deny.	0.5	sh-edge-a6 and sz-edge-a6	Source: both gateways. Run `systemctl is-active/is-enabled nftables`, `nft list ruleset`, and a safe syntax check of the persistent ruleset. Expected: all required policies/state rule and no syntax error.	nftables active/enabled on both gateways; INPUT and FORWARD policy drop; established,related accepted; persistent ruleset loads without error.	No additional note.
F1.02	nftables firewall and NAT	WAN ingress policy permits WireGuard but blocks direct DNS/LDAP exposure.	0.25	opposite WAN endpoint / sz-edge WAN context	Source: opposite WAN endpoint / sz-edge WAN context. Confirm working WireGuard handshake. Probe the gateway WAN address on 53/389. Expected: no DNS/LDAP service exposure.	UDP/51820 is reachable for the peer; WAN-address TCP/UDP 53 and TCP/389 are not exposed.	No additional note.
F1.03	nftables firewall and NAT	Required private service flows are permitted without a broad any-any forwarding rule.	0.25	sh-edge-a6 / sz-edge-a6	Run representative live private flows already defined in B/C/E and inspect the FORWARD chain. Expected: required flows work and no broad unconditional accept rule exists.	DNS, LDAP, HTTPS, mail and required ICMP work on intended private paths; no unconditional `accept` bypasses policy.	No additional note.
F1.04	nftables firewall and NAT	NFSv4 and SMB are private-only at the firewall/NAT boundary.	0.25	sh-edge-a6 / sz-edge-a6	From sh-user-a6 verify private NFS/SMB access. Then probe `198.18.76.20:2049` and `198.18.76.20:445`. Expected: private success; WAN-address probes fail.	Internal permitted clients can reach TCP/2049 and TCP/445; 198.18.76.20:2049 and :445 are not exposed from Shanghai/WAN.	No additional note.
F1.05	nftables firewall and NAT	Monitoring ports are private-only.	0.25	sh-edge-a6 / sz-edge-a6	From an internal permitted source verify required monitoring endpoints. From Shanghai/WAN path probe `198.18.76.20` on 3000, 9090, 9100, 9115. Expected: no WAN exposure.	Internal monitoring access works; WAN-address 3000/9090/9100/9115 is not exposed.	No additional note.
F1.06	nftables firewall and NAT	SNAT uses the exact site WAN addresses.	0.5	sh-edge-a6 / sz-edge-a6	For Shanghai, generate a permitted WAN-directed session and capture on sh-edge WAN; expected source 198.18.76.10. For Shenzhen, generate a permitted WAN-directed session from ops-a6 and capture on sz-edge WAN; expected source 198.18.76.20.	Shanghai private-to-WAN traffic is translated to 198.18.76.10; Shenzhen private-to-WAN traffic is translated to 198.18.76.20.	No additional note.
F1.07	nftables firewall and NAT	Private WireGuard traffic is not SNATed.	0.5	sh-edge-a6 / sz-edge-a6	Generate a private TCP connection sh-user-a6 -> services-a6. On services-a6 use `ss`, service log or `tcpdump` to inspect peer address. Expected: source 10.76.10.100, not a gateway/WAN address.	A Shanghai private connection reaching services-a6 retains original source 10.76.10.100.	No additional note.
F1.08	nftables firewall and NAT	DNAT rules are exact and no prohibited services are published.	0.5	sh-edge-a6 / sz-edge-a6	From sh-user-a6 connect to 198.18.76.20 ports 8443, 2587 and 2993 and verify the intended internal service is reached. Inspect `nft list ruleset` for exact translations and absence of prohibited DNAT mappings.	8443->10.76.30.10:443; 2587->:587; 2993->:993 all work. No DNAT exists for LDAP, DNS, NFS, SMB, Prometheus, Grafana or exporters.	No additional note.
G1.01	Docker, Prometheus and exporters	Monitoring images are local-only and use the required tags.	0.25	ops-a6 / monitored nodes	On ops-a6 run `docker image inspect a6-prometheus:local a6-grafana:local` and `docker compose config`. Expected: both local tags and no build/external image reference.	a6-prometheus:local and a6-grafana:local exist; Compose does not use build: or external registry images.	No additional note.
G1.02	Docker, Prometheus and exporters	Compose defines exactly two application services/containers.	0.25	ops-a6 / monitored nodes	Run `docker compose config --services` and `docker compose ps`. Expected: exactly prometheus/grafana and exact container names.	Services are prometheus and grafana; containers are a6-prometheus and a6-grafana.	No additional note.
G1.03	Docker, Prometheus and exporters	Docker network, named volumes and restart policies are correct.	0.5	ops-a6 / monitored nodes	Run `docker network inspect a6-monitoring`, `docker volume inspect ...`, and `docker inspect` for mounts/restart policy. Expected: all required resources attached correctly.	Dedicated network a6-monitoring is used by both containers; a6-prometheus-data and a6-grafana-data are mounted to data paths; restart policy is unless-stopped.	No additional note.
G1.04	Docker, Prometheus and exporters	Both internal DNS servers are configured for the containers and internal names resolve.	0.25	ops-a6 / monitored nodes	Inspect Compose/container DNS settings for both addresses. Run `docker exec a6-prometheus getent hosts portal.nova.a6.test` and the equivalent in a6-grafana. Expected: both DNS servers configured and lookup succeeds.	Effective container DNS configuration includes 10.76.40.10 and 10.76.40.20; internal NOVA names resolve.	No additional note.
G1.05	Docker, Prometheus and exporters	Node Exporter is active/enabled on all three monitored servers.	0.25	ops-a6 / monitored nodes	On each server run `systemctl is-active` and `systemctl is-enabled` for the installed Node Exporter unit and verify listener 9100. Expected: active/enabled/listening on all three.	directory-a6, network-a6 and services-a6 run Node Exporter on TCP/9100 and it is enabled at boot.	No additional note.
G1.06	Docker, Prometheus and exporters	Prometheus scrapes itself and all three Node Exporters with the required interval and metrics.	0.5	ops-a6 / monitored nodes	Use Prometheus HTTP API/config endpoint. Expected: 15s interval; `up=1` for self + 3 node targets; required `node_*` metric families present for directory/network/services.	global scrape_interval=15s; self target and three node targets are up; CPU, memory, filesystem, load and uptime metrics exist for all three nodes.	No additional note.
G1.07	Docker, Prometheus and exporters	Blackbox Exporter is active/enabled and its modules match the required probe types.	0.25	ops-a6 / monitored nodes	Run `systemctl is-active/is-enabled` for Blackbox Exporter; inspect its loaded config. Expected: listener 9115, DNS query module and CA-validating HTTPS module.	ops-a6 runs Blackbox Exporter on 9115. DNS probes perform an actual DNS query; HTTPS probe validates the CA and does not set insecure_skip_verify.	No additional note.
G1.08	Docker, Prometheus and exporters	Prometheus receives successful Blackbox results for every required service target.	0.25	ops-a6 / monitored nodes	Query Prometheus `probe_success`. Expected: eight required service targets present and value 1 for each.	probe_success=1 for primary DNS, secondary DNS, LDAP, HTTPS, Submission, IMAPS, SMB and NFSv4, with distinguishable target/service labels.	No additional note.
H1.01	Grafana provisioning and dashboard	Grafana admin authentication works and self-sign-up is disabled.	0.25	ops-a6 / Grafana	Run `curl -u admin:Skill39-A6-Monitor! http://127.0.0.1:3000/api/user` -> HTTP 200. Repeat with wrong password -> HTTP 401. Inspect effective Grafana setting/API for `users.allow_sign_up=false`.	Correct admin credentials authenticate; an incorrect password is rejected; user self-sign-up is disabled.	No additional note.
H1.02	Grafana provisioning and dashboard	Prometheus datasource is automatically provisioned with exact settings.	0.25	ops-a6 / Grafana	Use Grafana API `/api/datasources/uid/prometheus-a6` and inspect provisioning file mounted from /opt/a6-monitoring. Expected: exact fields and provisioned origin.	Name Prometheus-A6; UID prometheus-a6; URL http://prometheus:9090; default=true.	No additional note.
H1.03	Grafana provisioning and dashboard	Dashboard is automatically provisioned with the required identity and refresh rate.	0.25	ops-a6 / Grafana	Use Grafana search/dashboard APIs and inspect dashboard provisioning. Expected: exact folder/title/UID and refresh not greater than 30s.	Folder A6; title A6 Integrated Infrastructure; UID a6-integrated-infra; refresh <=30s.	No additional note.
H1.04	Grafana provisioning and dashboard	Target Availability panel is correct and live.	0.25	ops-a6 / Grafana	Inspect dashboard JSON and open the live panel. Expected: query based on `up`; monitored targets have distinguishable labels and current values.	Panel uses `up` and distinguishes the monitored Prometheus/Node Exporter targets.	No additional note.
H1.05	Grafana provisioning and dashboard	Service Availability panel is correct and live.	0.25	ops-a6 / Grafana	Inspect dashboard JSON and live panel. Expected: query based on `probe_success`; all eight required services are distinguishable.	Panel uses `probe_success` and distinguishes primary DNS, secondary DNS, LDAP, HTTPS, Submission, IMAPS, SMB and NFSv4.	No additional note.
H1.06	Grafana provisioning and dashboard	CPU Utilization panel shows all three monitored Linux servers.	0.25	ops-a6 / Grafana	Inspect panel PromQL and live results. Expected: three distinguishable server series with non-empty current values.	directory-a6, network-a6 and services-a6 have live CPU utilization values.	No additional note.
H1.07	Grafana provisioning and dashboard	Available Memory panel shows all three monitored Linux servers.	0.25	ops-a6 / Grafana	Inspect panel PromQL and live results. Expected: three distinguishable server series and clear unit/meaning.	Memory is clearly represented as available amount or percentage for directory-a6, network-a6 and services-a6.	No additional note.
H1.08	Grafana provisioning and dashboard	Root Filesystem Usage panel shows `/` for all three monitored Linux servers.	0.25	ops-a6 / Grafana	Inspect panel PromQL and live results. Expected: mountpoint `/` and three distinguishable server series with current values.	Root filesystem usage is displayed for directory-a6, network-a6 and services-a6.	No additional note.
I1.01	Integration, recovery and persistence	Monitoring detects a real assessed service failure and recovery.	0.5	integrated environment	Choose SMB, HTTPS, LDAP or a mail TCP service. Record baseline `probe_success=1`, stop the service, wait up to two scrape intervals, expect 0; restart service, expect return to 1. Restore service before continuing.	Stopping one assessed service changes its corresponding probe_success from 1 to 0; restarting it returns to 1 within the configured probe/scrape cycles.	No additional note.
I1.02	Integration, recovery and persistence	Private and public-style application flows use the two intended network paths.	0.5	integrated environment	Run private HTTPS to portal.nova.a6.test and public-style HTTPS to 198.18.76.20:8443 from sh-user-a6. Use `ip route get` plus short captures on sh-edge wg0 and WAN. Expected: private flow on wg0; public-style flow on WAN only.	Internal portal/private service access from Shanghai uses WireGuard; portal-public:8443 uses the WAN path and DNAT, not wg0.	No additional note.
I1.03	Integration, recovery and persistence	Docker Compose down/up preserves monitoring data and provisioning without pulling images.	0.5	integrated environment	Before shutdown note a known historical Prometheus time range and verify Grafana objects by API. Execute the exact down/up commands. Expected: same named volumes, prior Prometheus history queryable, datasource and dashboard still present.	After `docker compose down` then `docker compose up -d --pull never`, historical Prometheus data remains and the Grafana datasource/dashboard still exist.	No additional note.
I1.04	Integration, recovery and persistence	Monitoring containers automatically recover after Docker service restart or ops-a6 reboot.	0.25	integrated environment	At the end of normal functional marking restart Docker, or perform a controlled ops-a6 reboot if permitted. Expected: both containers automatically running and ports 9090/3000 available.	a6-prometheus and a6-grafana return to running without manual `docker compose up`.	No additional note.
I1.05	Integration, recovery and persistence	Core infrastructure services are enabled and return active after controlled restart.	0.25	integrated environment	Check `systemctl is-enabled`/`is-active` for the defined service list. Perform controlled restarts by host/service group. Expected: every required service returns active; no undefined 'service group' scoring is used.	BIND primary/secondary, Kea, slapd, Apache, Postfix, Dovecot, NFS, Samba, Node Exporters and Blackbox Exporter are enabled where applicable and active after restart.	No additional note.
I1.06	Integration, recovery and persistence	Key end-to-end workflows remain functional after the persistence tests.	0.25	integrated environment	Run one compact check for each workflow after persistence tests. Expected: all six succeed. This aspect evaluates post-recovery integration only; it does not duplicate the initial local configuration marks.	After I1.03-I1.05, DNS resolution, LDAP identity lookup, file access, HTTPS authorization, local mail delivery/retrieval and monitoring are still functional without manual repair.	No additional note.
