HostKey	HostRole	AspectID	TaskRef	Requirement	VerificationCommands	ExpectedResult	MaxMark
BJ-DC02	Additional DC, DNS, DHCP for Beijing Client	BJ-DC02-10	Task 11	Advanced Audit Policy, command line logging and Security log settings are applied on BJ-DC02.	Run locally: auditpol /get /category:*; wevtutil gl Security; gpresult /r	Required audit subcategories are set; Security log is at least 256 MB and overwrite mode is used.	0.35
BJ-DC02	Additional DC, DNS, DHCP for Beijing Client	BJ-DC02-11	Task 12	BJ-DC02 successfully forwards relevant Security events to BJ-SRV01.	Run locally: generate/check relevant events; on BJ-SRV01 inspect Forwarded Events for BJ-DC02 source.	Forwarded Events contains current events from BJ-DC02 after policy refresh.	0.35
SHA-FS01	Member server, security baseline target, WEF source	SHA-FS01-01	Tasks 1 and 5	Hostname, IP settings, domain join and OU placement are correct: 10.24.20.20/24, gateway 10.24.20.1, domain nb-b4.local, OU=Shanghai,OU=00-Servers.	Run locally: hostname; Get-NetIPConfiguration; whoami /fqdn; on DC check computer DN if needed.	Server is a domain member in the required OU with correct IP configuration.	0.30
SHA-FS01	Member server, security baseline target, WEF source	SHA-FS01-02	Task 8	Server local administrator model is applied: Domain Admins and GG_B4_Server_Admins have admin rights; helpdesk.b4, standard users, no-admin test group and workstation admins do not get server admin rights.	Run locally: Get-LocalGroupMember Administrators; gpresult /r	Allowed domain principals are present; disallowed principals are not granted local administrator rights.	0.35
SHA-FS01	Member server, security baseline target, WEF source	SHA-FS01-03	Task 6	GG_B4_Remote_Management is added to local Remote Management Users; this membership does not grant local administrator rights.	Run locally: Get-LocalGroupMember 'Remote Management Users'; Get-LocalGroupMember Administrators	GG_B4_Remote_Management is present only in the remote-management context, not as an admin bypass.	0.20
SHA-FS01	Member server, security baseline target, WEF source	SHA-FS01-04	Task 9	Windows Firewall is enabled and WinRM for administration is limited to the required internal management source 10.24.30.0/24.	Run locally: Get-NetFirewallProfile; Get-NetFirewallRule/Get-NetFirewallAddressFilter for WinRM rules.	Firewall profiles are enabled and WinRM management is not broadly exposed.	0.25
SHA-FS01	Member server, security baseline target, WEF source	SHA-FS01-05	Task 9	Local firewall configuration on SHA-FS01 does not include the external validation network in allowed management scopes for TCP/135, TCP/445, TCP/5985 or TCP/3389.	Run locally: inspect Windows Firewall inbound rules and address filters for RPC/SMB/WinRM/RDP; result can be confirmed from INET-CL01 but the primary score here is firewall scope/configuration.	Management rules are scoped to required internal management/WEF sources only. External blocking result itself is scored in the INET-CL01 block.	0.15
SHA-FS01	Member server, security baseline target, WEF source	SHA-FS01-06	Task 10	Microsoft Defender baseline is applied: real-time protection enabled/managed, daily quick scan at 12:30, and no forbidden broad exclusions.	Run locally: Get-MpComputerStatus; Get-MpPreference	Defender state, schedule and exclusions match the task.	0.30
SHA-FS01	Member server, security baseline target, WEF source	SHA-FS01-07	Task 11	Advanced Audit Policy, command line logging, file share audit, and Security log settings are applied on SHA-FS01.	Run locally: auditpol /get /category:*; wevtutil gl Security; gpresult /r	Required subcategories are enabled; Security log is at least 128 MB and overwrite mode is used.	0.25
SHA-FS01	Member server, security baseline target, WEF source	SHA-FS01-08	Task 12	SHA-FS01 is configured as a WEF source and can forward Security events to BJ-SRV01.	Run locally: gpresult /r; inspect Subscription Manager policy and WinRM service; verify on BJ-SRV01 Forwarded Events.	Current events from SHA-FS01 appear on the collector; transient setup warnings alone do not fail the aspect.	0.35
BJ-SRV01	Member server, Windows Event Collector, WEF source	BJ-SRV01-01	Tasks 1 and 5	Hostname, IP settings, domain join and OU placement are correct: 10.34.20.20/24, gateway 10.34.20.1, domain nb-b4.local, OU=Beijing,OU=00-Servers.	Run locally: hostname; Get-NetIPConfiguration; whoami /fqdn; on DC check computer DN if needed.	Server is a domain member in the required OU with correct IP configuration.	0.25
BJ-SRV01	Member server, Windows Event Collector, WEF source	BJ-SRV01-02	Task 8	Server local administrator model is applied: Domain Admins and GG_B4_Server_Admins have admin rights; helpdesk.b4, standard users, no-admin test group and workstation admins do not get server admin rights.	Run locally: Get-LocalGroupMember Administrators; gpresult /r	Allowed domain principals are present; disallowed principals are not granted local administrator rights.	0.25
BJ-SRV01	Member server, Windows Event Collector, WEF source	BJ-SRV01-03	Task 6	GG_B4_Remote_Management is added to local Remote Management Users and does not create an administrator bypass.	Run locally: Get-LocalGroupMember 'Remote Management Users'; Get-LocalGroupMember Administrators	Remote management group is present only where required and not in local Administrators unless separately authorized.	0.20
BJ-SRV01	Member server, Windows Event Collector, WEF source	BJ-SRV01-04	Task 9	Windows Firewall profiles are enabled; WinRM administration works from SHA-CL01/10.24.30.0/24 and is not broadly exposed.	Run locally: Get-NetFirewallProfile; Get-NetFirewallRule/Get-NetFirewallAddressFilter for WinRM rules; from SHA-CL01 run Test-WSMan BJ-SRV01.	Firewall and management access match the required model.	0.30
BJ-SRV01	Member server, Windows Event Collector, WEF source	BJ-SRV01-05	Task 9	WEF collector exception allows TCP/5985 to BJ-SRV01 only from the listed WEF source addresses/networks and local collector host.	Run locally: inspect firewall address filters for WEF/WinRM collector rules.	Allowed WEF source list matches 10.24.20.10, 10.34.20.10, 10.24.20.20, 10.24.30.0/24, 10.34.30.0/24 and local host; external validation client is not allowed.	0.35
BJ-SRV01	Member server, Windows Event Collector, WEF source	BJ-SRV01-06	Task 12	Windows Event Collector is initialized and the Wecsvc service starts automatically.	Run locally: wecutil qc status/equivalent; Get-Service Wecsvc	Wecsvc startup type is Automatic/Delayed or Automatic as configured; service is running.	0.30
BJ-SRV01	Member server, Windows Event Collector, WEF source	BJ-SRV01-07	Task 12	Subscription B4-Security-Events exists, uses source-initiated mode, and writes to Forwarded Events.	Run locally: wecutil es; wecutil gs B4-Security-Events; Event Viewer → Subscriptions	Subscription name, type and destination log match the task.	0.50
BJ-SRV01	Member server, Windows Event Collector, WEF source	BJ-SRV01-08	Task 12	Required WEF sources are represented in the subscription/source list: SHA-DC01, BJ-DC02, SHA-FS01, SHA-CL01 and BJ-CL01. BJ-SRV01 may be accepted as an explicit source or by confirmed local Security events on the collector.	Run locally: wecutil gr B4-Security-Events or inspect subscription runtime status/Event Viewer; confirm remote sources are accepted or actively forwarding.	Required remote source computers are accepted/forwarding by marking time. BJ-SRV01 self-source is not treated as a failure if local collector Security events are available and all remote sources work.	0.40
BJ-SRV01	Member server, Windows Event Collector, WEF source	BJ-SRV01-09	Task 12	Forwarded Events contains recent Security events from multiple sources, including domain controllers, member servers and workstations.	Run locally: Get-WinEvent -LogName ForwardedEvents -MaxEvents 100 | Select ProviderName,MachineName,Id,TimeCreated	Forwarded Events includes current records from the required device classes, not only local events.	0.40
BJ-SRV01	Member server, Windows Event Collector, WEF source	BJ-SRV01-10	Tasks 12-13	Forwarded Events contains relevant event IDs 4624, 4625, 4688, 4720, 4728 and 4729 after the Task 13 validation actions.	Run locally after validation actions: Get-WinEvent -LogName ForwardedEvents | Where-Object Id -in 4624,4625,4688,4720,4728,4729	Required event IDs are present after the performed validation actions. Each event ID does not have to appear from every source host.	0.45
BJ-SRV01	Member server, Windows Event Collector, WEF source	BJ-SRV01-11	Task 12	Security log forwarding works for the required WEF source hosts; Event Log Readers, GPO or equivalent channel access may be used as supporting evidence. No third-party monitoring agent is used.	Run locally: verify Security events from required source hosts in Forwarded Events; inspect Event Log Readers/channel access/source policy settings only if forwarding evidence is unclear.	Security events are actually received through Windows Event Forwarding. Third-party agents are not part of the solution.	0.25
BJ-SRV01	Member server, Windows Event Collector, WEF source	BJ-SRV01-12	Task 10	Microsoft Defender baseline is applied on BJ-SRV01.	Run locally: Get-MpComputerStatus; Get-MpPreference	Real-time protection, scan schedule and exclusions match the task.	0.20
BJ-SRV01	Member server, Windows Event Collector, WEF source	BJ-SRV01-13	Task 11	Advanced Audit Policy and Security log settings are applied on BJ-SRV01.	Run locally: auditpol /get /category:*; wevtutil gl Security; gpresult /r	Required subcategories are enabled; Security log is at least 128 MB and overwrite mode is used.	0.30
BJ-SRV01	Member server, Windows Event Collector, WEF source	BJ-SRV01-14	Task 9	Local firewall configuration on BJ-SRV01 does not include the external validation network in allowed management or WEF collector scopes for TCP/135, TCP/445, TCP/5985 or TCP/3389.	Run locally: inspect Windows Firewall inbound rules/address filters for RPC/SMB/WinRM/RDP and WEF collector exception; use INET-CL01 block for final external reachability result.	WEF TCP/5985 exception is limited to required internal WEF sources and does not include INET-CL01/external validation networks.	0.15
BJ-SRV01	Member server, Windows Event Collector, WEF source	BJ-SRV01-15	Task 9	Opening WEF TCP/5985 does not grant WEF source hosts administrative rights on BJ-SRV01.	Run locally: inspect local Administrators, Remote Management Users, and test user rights if needed.	WEF connectivity is separated from administrative authorization.	0.10
BJ-SRV01	Member server, Windows Event Collector, WEF source	BJ-SRV01-16	Tasks 6 and 12	auditor.b4 / GG_B4_Auditors can read Forwarded Events or audit evidence on BJ-SRV01 but does not receive local administrator rights.	Run locally: check Event Log Readers or equivalent log-reader rights; test opening Event Viewer/Forwarded Events as auditor.b4 if needed; Get-LocalGroupMember Administrators.	Auditor role can view collected audit events/evidence and is not a member of local Administrators.	0.15
SHA-CL01	Admin workstation, RSAT, validation, WEF source	SHA-CL01-01	Tasks 4-5	SHA-CL01 receives DHCP address and options from Shanghai scope: IP 10.24.30.120–10.24.30.200, gateway 10.24.30.1, DNS 10.24.20.10/10.34.20.10, suffix nb-b4.local.	Run locally: ipconfig /all	Lease and options match the Shanghai Client scope.	0.30
SHA-CL01	Admin workstation, RSAT, validation, WEF source	SHA-CL01-02	Task 5	SHA-CL01 is joined to nb-b4.local and placed in OU=Shanghai,OU=10-Workstations.	Run locally: systeminfo | findstr Domain; whoami /fqdn; confirm computer DN on DC if needed.	Computer account is in the required workstation OU.	0.25
SHA-CL01	Admin workstation, RSAT, validation, WEF source	SHA-CL01-03	Task 5	Minimum RSAT components for B4 are installed without using Internet: AD tools, DNS tools, DHCP tools, Group Policy Management, Server Manager.	Run locally: Get-WindowsCapability -Online -Name Rsat*; check Windows Tools/RSAT consoles.	Required RSAT capabilities are Installed and usable.	0.30
SHA-CL01	Admin workstation, RSAT, validation, WEF source	SHA-CL01-04	Tasks 3 and 13	SHA-CL01 resolves required names and CNAMEs through domain DNS.	Run locally: Resolve-DnsName sha-dc01.nb-b4.local; Resolve-DnsName bj-srv01.nb-b4.local; Resolve-DnsName sec-mgmt.nb-b4.local; Resolve-DnsName eventlog.nb-b4.local	All required names resolve to expected targets/addresses.	0.25
SHA-CL01	Admin workstation, RSAT, validation, WEF source	SHA-CL01-05	Tasks 9 and 13	Remote management from SHA-CL01 to SHA-DC01, BJ-DC02, SHA-FS01 and BJ-SRV01 works.	Run locally: Test-WSMan SHA-DC01; Test-WSMan BJ-DC02; Test-WSMan SHA-FS01; Test-WSMan BJ-SRV01	All four Test-WSMan checks succeed from SHA-CL01.	0.35
SHA-CL01	Admin workstation, RSAT, validation, WEF source	SHA-CL01-06	Task 8	Workstation local administrator model is applied to SHA-CL01: Domain Admins and GG_B4_Workstation_Admins are allowed; disallowed users/groups are not local admins.	Run locally: Get-LocalGroupMember Administrators; gpresult /r	Allowed workstation admin principals are present; helpdesk is only admin through the group, and standard/no-admin users are not administrators.	0.30
SHA-CL01	Admin workstation, RSAT, validation, WEF source	SHA-CL01-07	Task 6	GG_B4_Remote_Management is added to local Remote Management Users on SHA-CL01.	Run locally: Get-LocalGroupMember 'Remote Management Users'	Required group is present in Remote Management Users.	0.15
SHA-CL01	Admin workstation, RSAT, validation, WEF source	SHA-CL01-08	Tasks 7-8	gpresult confirms account policy/GPOs are applied to SHA-CL01 and local administrator GPO does not affect Domain Controllers.	Run locally: gpresult /r; gpresult /h C:\Skills\B4\gpresult.html	Relevant workstation policies apply and GPO scope is correct.	0.25
SHA-CL01	Admin workstation, RSAT, validation, WEF source	SHA-CL01-09	Task 13	Security validation confirms sec.admin1 can administer servers/workstations and helpdesk.b4 can administer workstations through GG_B4_Workstation_Admins.	Run locally/RSAT: sign in/run elevated tools with test accounts or inspect effective local group membership.	Expected admin capability exists only for the allowed accounts/groups.	0.30
SHA-CL01	Admin workstation, RSAT, validation, WEF source	SHA-CL01-10	Task 13	Security validation confirms helpdesk.b4 is not a local administrator on member servers; user.sh01 and blocked.admin are not local administrators.	Run local checks on target devices or inspect group policy/effective membership evidence from SHA-CL01.	No disallowed user receives local administrator privileges.	0.30
SHA-CL01	Admin workstation, RSAT, validation, WEF source	SHA-CL01-11	Task 10	Microsoft Defender baseline is applied on SHA-CL01.	Run locally: Get-MpComputerStatus; Get-MpPreference	Real-time protection, policy behavior, scan schedule and exclusions match the task.	0.25
