Device,Interface,IP/Mask,Connected to,Purpose
HQ-GW2,Gi0/4.10,10.19.10.3/24; HSRP 10.19.10.1,HQ-SW Gi0/1 trunk,HQ users VLAN 10 (priority 100, track Gi0/0)
HQ-GW2,Gi0/4.20,10.19.20.3/24; HSRP 10.19.20.1,HQ-SW Gi0/1 trunk,HQ servers VLAN 20 (priority 100, track Gi0/0)
HQ-GW2,Gi0/3,trunk (no host VLANs active),HQ-SW-D Gi0/0,Uplink to HQ distribution switch 2
HQ-SW,Gi0/0,(trunk VLAN10/20),HQ-GW1 Gi0/3,Uplink to HQ gateway 1
HQ-SW,Gi0/1,(trunk VLAN10/20),HQ-GW2 Gi0/4,Uplink to HQ gateway 2
HQ-SW,Gi1/1,(access VLAN10),HQ-WS01 e0,Windows 11 client
HQ-SW,Gi1/0,(access VLAN20),HQ-AD01 e0,AD/DNS server
HQ-SW,Gi0/3,(access VLAN20),HQ-FILE01 e0,File server
HQ-SW,Gi0/2,(access VLAN20),HQ-LNX01 e0,Linux server
HQ-SW-D,Gi0/1,(trunk - no host VLANs active),HQ-GW1 Gi0/4,Uplink to HQ gateway 1
HQ-SW-D,Gi0/0,(trunk - no host VLANs active),HQ-GW2 Gi0/3,Uplink to HQ gateway 2
HQ-SW-D,Gi0/3,10.19.30.1/30,HQ-R Gi0/1,Internal routed link 1
HQ-SW-D,Gi0/2,10.19.30.5/30,HQ-R Gi0/0,Internal routed link 2
HQ-R,Gi0/1,10.19.30.2/30,HQ-SW-D Gi0/3,Internal routed link 1
HQ-R,Gi0/0,10.19.30.6/30,HQ-SW-D Gi0/2,Internal routed link 2
HQ-WS01,e0,10.19.10.10/24 gw 10.19.10.1,HQ-SW Gi1/1,Windows 11 client
HQ-AD01,e0,10.19.20.10/24 gw 10.19.20.1,HQ-SW Gi1/0,"AD DS, DNS, NTP"
HQ-FILE01,e0,10.19.20.20/24 gw 10.19.20.1,HQ-SW Gi0/3,SMB file service
HQ-LNX01,e0,10.19.20.30/24 gw 10.19.20.1,HQ-SW Gi0/2,Linux web/SSH/syslog client
DC-LNX01,e0,10.21.10.10/24 gw 10.21.10.1,Switch Gi0/1,Intranet web service
DC-LNX02,e0,10.21.10.20/24 gw 10.21.10.1,Switch Gi0/2,DNS/utility service
DC-CL01,e0,10.21.10.30/24 gw 10.21.10.1,Switch Gi0/3,DC test client
DC-Win01,e0,10.21.10.40/24 gw 10.21.10.1,Switch Gi1/0,Windows service host
DC-SVC01,e0,10.21.10.50/24 gw 10.21.10.1,Switch Gi1/1,Service Desk / monitoring / app
