HostKey	AspectID	TaskRef	Category	Requirement	VerificationCommands	ExpectedResult	AwardGuidance	MaxMark
BJ-RTR01	A-BJ-RTR01-01	Task 1	A. Base networking, simulated Internet, DMZ and routing	BJ-RTR01 hostname, interfaces and IP forwarding are configured.	hostname; ipconfig /all; Get-NetIPInterface | ? Forwarding -eq Enabled	Hostname BJ-RTR01; IPs 198.18.151.10/24, 10.35.20.1/24, 10.35.30.1/24; forwarding enabled.	All Beijing corporate and WAN interfaces must be correct.	0.25
BJ-RTR01	A-BJ-RTR01-02	Task 1	A. Base networking, simulated Internet, DMZ and routing	BJ-RTR01 static routes include Shanghai DMZ/internal/client and simulated Internet networks.	route print; Get-NetRoute	Routes to 10.25.10.0/24, 10.25.20.0/24, 10.25.30.0/24, 198.18.200.0/24 and 198.18.201.0/24 via 198.18.151.1.	DMZ route must be present.	0.25
SHA-WEB01	A-SHA-WEB01-01	Task 2	A. Base networking, simulated Internet, DMZ and routing	SHA-WEB01 DMZ baseline addressing and workgroup state are correct.	hostname; ipconfig /all; (Get-WmiObject Win32_ComputerSystem).PartOfDomain	Hostname SHA-WEB01; IP 10.25.10.11/24; gateway 10.25.10.1; PartOfDomain=False.	Award if host remains workgroup.	0.20
SHA-WEB01	A-SHA-WEB01-02	Task 2	A. Base networking, simulated Internet, DMZ and routing	SHA-WEB01 firewall is enabled and prohibited roles are not installed.	Get-NetFirewallProfile; Get-WindowsFeature AD-Domain-Services,DNS,DHCP,Web-Server	All firewall profiles enabled; AD DS, DNS, DHCP and IIS/Web-Server are not installed.	This validates DMZ remains a minimal isolation target, not a domain service host.	0.15
SHA-APP01	A-SHA-APP01-01	Task 2	A. Base networking, simulated Internet, DMZ and routing	SHA-APP01 DMZ baseline addressing and workgroup state are correct.	hostname; ipconfig /all; (Get-WmiObject Win32_ComputerSystem).PartOfDomain	Hostname SHA-APP01; IP 10.25.10.12/24; gateway 10.25.10.1; PartOfDomain=False.	Award if host remains workgroup.	0.20
SHA-APP01	A-SHA-APP01-02	Task 2	A. Base networking, simulated Internet, DMZ and routing	SHA-APP01 firewall is enabled and prohibited roles are not installed.	Get-NetFirewallProfile; Get-WindowsFeature AD-Domain-Services,DNS,DHCP,Web-Server	All firewall profiles enabled; AD DS, DNS, DHCP and IIS/Web-Server are not installed.	This validates DMZ remains a minimal isolation target, not a domain service host.	0.15
SHA-DC01	A-SHA-DC01-01	Task 1	A. Base networking, simulated Internet, DMZ and routing	End-to-end routing from domain infrastructure reaches Beijing and simulated Internet paths.	ping 10.35.20.10; ping 10.35.30.1; ping 198.18.200.10; tracert 10.35.20.10	Successful reachability to BJ-DC02/Beijing gateway/INET-SRV01 through routed paths.	Firewall ICMP restrictions may be accepted if equivalent route evidence and TCP checks prove reachability.	0.40
BJ-DC02	A-BJ-DC02-01	Task 1	A. Base networking, simulated Internet, DMZ and routing	DMZ route is reachable from Beijing side where firewall permits diagnostic traffic.	ping 10.25.10.1; tracert 10.25.10.11	Route to Shanghai DMZ subnet uses BJ-RTR01 -> ISP-BJ01 -> ISP-SHA01 -> SHA-RTR01 path.	Award based on route table/tracert if host firewall blocks endpoint ICMP.	0.20
SHA-DC01	B-SHA-DC01-01	Task 3	B. AD DS, DNS, DHCP and domain join	Forest nb-b5.local with NetBIOS NBB5 exists.	Get-ADDomain; Get-ADForest	DNSRoot nb-b5.local; NetBIOSName NBB5; forest root is nb-b5.local.	Award after AD module is available.	0.25
SHA-DC01	B-SHA-DC01-02	Task 3	B. AD DS, DNS, DHCP and domain join	SHA-DC01 is the root domain controller and DNS server.	Get-ADDomainController SHA-DC01; Get-WindowsFeature AD-Domain-Services,DNS	SHA-DC01 is domain controller, Global Catalog as required, with DNS role installed.	Root DC must not be replaced by another host.	0.20
BJ-DC02	B-BJ-DC02-01	Task 3	B. AD DS, DNS, DHCP and domain join	BJ-DC02 is additional domain controller, Global Catalog and DNS server.	Get-ADDomainController BJ-DC02; Get-WindowsFeature AD-Domain-Services,DNS	BJ-DC02 is domain controller in nb-b5.local, Global Catalog, DNS role installed.	Award only if it is not a separate forest.	0.20
SHA-DC01	B-SHA-DC01-03	Task 3	B. AD DS, DNS, DHCP and domain join	SYSVOL and NETLOGON shares are available on both domain controllers.	net view \\SHA-DC01; net view \\BJ-DC02; net share	SYSVOL and NETLOGON are published on SHA-DC01 and BJ-DC02.	Can be checked from either DC.	0.15
SHA-DC01	B-SHA-DC01-04	Task 3	B. AD DS, DNS, DHCP and domain join	Domain controller replication and time synchronization are healthy.	repadmin /replsummary; w32tm /monitor /domain:nb-b5.local	No significant replication failures; time skew between domain hosts is within 5 minutes.	Transient initial replication warnings can be ignored if final replication succeeds.	0.20
SHA-DC01	B-SHA-DC01-05	Task 5	B. AD DS, DNS, DHCP and domain join	DNS forward zone nb-b5.local is AD-integrated and replicated.	Get-DnsServerZone -Name nb-b5.local	Zone exists, is AD-integrated, and is available from both DNS servers.	Award if zone replicates to BJ-DC02.	0.20
SHA-DC01	B-SHA-DC01-06	Task 5	B. AD DS, DNS, DHCP and domain join	Required reverse lookup zones exist, including DMZ and simulated Internet zones.	Get-DnsServerZone | Where-Object ZoneType -eq ReverseLookup	Reverse zones exist for 10.25.10.0/24, 10.25.20.0/24, 10.25.30.0/24, 10.35.20.0/24, 10.35.30.0/24, 198.18.200.0/24, 198.18.201.0/24.	Award partial only if most zones exist; full point requires all listed zones.	0.25
SHA-DC01	B-SHA-DC01-07	Task 5	B. AD DS, DNS, DHCP and domain join	Required A and PTR records exist for domain, router, DMZ and simulated Internet names.	Resolve-DnsName sha-web01.nb-b5.local; Resolve-DnsName inet-srv01.nb-b5.local; Resolve-DnsName 10.25.10.11; Resolve-DnsName 10.35.20.20	All listed A/PTR records resolve to the correct addresses.	Static records for workgroup hosts are allowed and do not imply domain join.	0.30
SHA-DC01	B-SHA-DC01-08	Task 5	B. AD DS, DNS, DHCP and domain join	CNAME records ansible and securedata resolve to correct targets.	Resolve-DnsName ansible.nb-b5.local; Resolve-DnsName securedata.nb-b5.local	ansible -> sha-cl01.nb-b5.local; securedata -> bj-srv01.nb-b5.local.	Full point requires target records to resolve as well.	0.10
SHA-DC01	B-SHA-DC01-09	Task 5	B. AD DS, DNS, DHCP and domain join	DNS resolution works from domain hosts for forward and reverse records.	Resolve-DnsName bj-dc02.nb-b5.local; Resolve-DnsName 10.35.20.20	Forward and reverse queries succeed using domain DNS servers.	Can be checked from SHA-CL01 or a DC.	0.15
SHA-DC01	B-SHA-DC01-10	Task 6	B. AD DS, DNS, DHCP and domain join	Shanghai DHCP scope is authorized and configured correctly on SHA-DC01.	Get-DhcpServerInDC; Get-DhcpServerv4Scope -ComputerName SHA-DC01; Get-DhcpServerv4OptionValue -ComputerName SHA-DC01 -ScopeId 10.25.30.0	Scope 10.25.30.0/24, range 10.25.30.100-200, exclusion 100-119, gateway 10.25.30.1, DNS 10.25.20.10 and 10.35.20.10, suffix nb-b5.local.	Award full point only if server is authorized.	0.30
BJ-DC02	B-BJ-DC02-02	Task 6	B. AD DS, DNS, DHCP and domain join	Beijing DHCP scope is authorized and configured correctly on BJ-DC02.	Get-DhcpServerInDC; Get-DhcpServerv4Scope -ComputerName BJ-DC02; Get-DhcpServerv4OptionValue -ComputerName BJ-DC02 -ScopeId 10.35.30.0	Scope 10.35.30.0/24, range 10.35.30.100-200, exclusion 100-119, gateway 10.35.30.1, DNS 10.35.20.10 and 10.25.20.10, suffix nb-b5.local.	Award full point only if server is authorized.	0.30
SHA-RTR01	B-SHA-RTR01-01	Task 6	B. AD DS, DNS, DHCP and domain join	DHCP relay on SHA-RTR01 forwards Shanghai ClientNet requests to SHA-DC01.	Get-WindowsFeature RemoteAccess; Get-NetIPInterface; netsh routing ip relay show global/interfaces	Relay/helper for 10.25.30.0/24 points to 10.25.20.10 or equivalent RRAS relay configuration is present.	Award if SHA-CL01 can obtain correct lease through relay.	0.15
BJ-RTR01	B-BJ-RTR01-01	Task 6	B. AD DS, DNS, DHCP and domain join	DHCP relay on BJ-RTR01 forwards Beijing ClientNet requests to BJ-DC02.	Get-WindowsFeature RemoteAccess; netsh routing ip relay show global/interfaces	Relay/helper for 10.35.30.0/24 points to 10.35.20.10 or equivalent RRAS relay configuration is present.	Award if BJ-CL01 can obtain correct lease through relay.	0.15
SHA-CL01	B-SHA-CL01-01	Task 6	B. AD DS, DNS, DHCP and domain join	SHA-CL01 receives correct DHCP lease and options.	ipconfig /all	Address in 10.25.30.120-200, gateway 10.25.30.1, DNS 10.25.20.10/10.35.20.10, suffix nb-b5.local.	Must not be static unless DHCP service is also proven and exception accepted by expert.	0.10
BJ-CL01	B-BJ-CL01-01	Task 6	B. AD DS, DNS, DHCP and domain join	BJ-CL01 receives correct DHCP lease and options.	ipconfig /all	Address in 10.35.30.120-200, gateway 10.35.30.1, DNS 10.35.20.10/10.25.20.10, suffix nb-b5.local.	Must not be static unless DHCP service is also proven and exception accepted by expert.	0.10
SHA-DC01	B-SHA-DC01-DNSCLIENT	Task 7	B. AD DS, DNS, DHCP and domain join	SHA-DC01 DNS client settings are correct.	Get-DnsClientServerAddress -AddressFamily IPv4; ipconfig /all	Preferred DNS 10.25.20.10, alternate 10.35.20.10.	This aspect is checked on the named device only.	0.05
SHA-FS01	B-SHA-FS01-DNSCLIENT	Task 7	B. AD DS, DNS, DHCP and domain join	SHA-FS01 DNS client settings are correct.	Get-DnsClientServerAddress -AddressFamily IPv4; ipconfig /all	Preferred DNS 10.25.20.10, alternate 10.35.20.10.	This aspect is checked on the named device only.	0.05
BJ-DC02	B-BJ-DC02-DNSCLIENT	Task 7	B. AD DS, DNS, DHCP and domain join	BJ-DC02 DNS client settings are correct.	Get-DnsClientServerAddress -AddressFamily IPv4; ipconfig /all	Preferred DNS 10.35.20.10, alternate 10.25.20.10 after promotion.	This aspect is checked on the named device only.	0.05
BJ-SRV01	B-BJ-SRV01-DNSCLIENT	Task 7	B. AD DS, DNS, DHCP and domain join	BJ-SRV01 DNS client settings are correct.	Get-DnsClientServerAddress -AddressFamily IPv4; ipconfig /all	Preferred DNS 10.35.20.10, alternate 10.25.20.10.	This aspect is checked on the named device only.	0.05
SHA-DC01	B-SHA-DC01-11	Task 7	B. AD DS, DNS, DHCP and domain join	Required non-DC domain computers are joined to nb-b5.local.	Get-ADComputer -Filter * | Select Name; Get-ComputerInfo on endpoints	SHA-FS01, BJ-SRV01, SHA-CL01 and BJ-CL01 are joined to nb-b5.local.	This aspect does not judge out-of-scope hosts; see B-SHA-DC01-13.	0.35
SHA-DC01	B-SHA-DC01-12	Task 7	B. AD DS, DNS, DHCP and domain join	Required domain computers are placed in the correct OUs.	Get-ADComputer SHA-FS01,BJ-SRV01,SHA-CL01,BJ-CL01 -Properties DistinguishedName	Computers are in the exact OUs specified by the task.	Award full point only if all four non-DC domain computers are placed correctly.	0.20
SHA-DC01	B-SHA-DC01-13	Task 7	B. AD DS, DNS, DHCP and domain join	Out-of-scope ISP, INET and DMZ hosts are absent from nb-b5.local computer objects.	Get-ADComputer -LDAPFilter '(|(name=ISP-SHA01)(name=ISP-BJ01)(name=INET-SRV01)(name=INET-CL01)(name=SHA-WEB01)(name=SHA-APP01))'	No AD computer objects exist for ISP-SHA01, ISP-BJ01, INET-SRV01, INET-CL01, SHA-WEB01 or SHA-APP01.	This prevents double counting with required domain join aspect.	0.15
SHA-DC01	C-SHA-DC01-01	Task 4	C. AD Sites, OU, groups, users and local admin model	AD Sites Shanghai-Site and Beijing-Site exist.	Get-ADReplicationSite -Filter *	Shanghai-Site and Beijing-Site exist; Default-First-Site-Name is not the effective site for both DCs.	Renaming Default-First-Site-Name is acceptable if final site names meet task.	0.25
SHA-DC01	C-SHA-DC01-02	Task 4	C. AD Sites, OU, groups, users and local admin model	Required AD subnets are mapped to correct sites.	Get-ADReplicationSubnet -Filter * -Properties Site	10.25.20.0/24 and 10.25.30.0/24 map to Shanghai-Site; 10.35.20.0/24 and 10.35.30.0/24 map to Beijing-Site.	DMZ subnet is not required to map to a site.	0.20
SHA-DC01	C-SHA-DC01-03	Task 4	C. AD Sites, OU, groups, users and local admin model	Domain controllers are in correct sites and site link settings are correct.	Get-ADDomainController -Filter * | Select HostName,Site; Get-ADReplicationSiteLink -Filter * -Properties Cost,ReplicationFrequencyInMinutes	SHA-DC01 in Shanghai-Site, BJ-DC02 in Beijing-Site; B5-SHA-BJ-Link cost 100 and interval 15.	Award if replication uses the expected site topology.	0.20
SHA-CL01	C-SHA-CL01-01	Task 4	C. AD Sites, OU, groups, users and local admin model	SHA-CL01 determines Shanghai-Site based on its subnet.	nltest /dsgetsite	Result is Shanghai-Site.	Checked on SHA-CL01 only.	0.05
BJ-CL01	C-BJ-CL01-01	Task 4	C. AD Sites, OU, groups, users and local admin model	BJ-CL01 determines Beijing-Site based on its subnet.	nltest /dsgetsite	Result is Beijing-Site.	Checked on BJ-CL01 only.	0.05
SHA-DC01	C-SHA-DC01-04	Task 7	C. AD Sites, OU, groups, users and local admin model	Required OU structure exists.	Get-ADOrganizationalUnit -Filter * | Select Name,DistinguishedName	00-Servers with Shanghai/Beijing, 10-Workstations with Shanghai/Beijing, 20-B5-Groups, 30-B5-Users, 40-B5-ServiceAccounts, 50-B5-Automation exist.	Names must match or be unambiguously equivalent.	0.20
SHA-DC01	C-SHA-DC01-05	Task 7	C. AD Sites, OU, groups, users and local admin model	Required security groups exist with correct scope/category.	Get-ADGroup -Filter 'Name -like "GG_B5_*"' -Properties GroupScope,GroupCategory	All six GG_B5_* groups exist as Global Security groups.	No extra groups are needed for full points.	0.25
SHA-DC01	C-SHA-DC01-06	Task 7	C. AD Sites, OU, groups, users and local admin model	Required users exist, are enabled, have correct group memberships and password flags.	Get-ADUser -Filter * -Properties Enabled,PasswordNeverExpires,MemberOf	sec.admin1, laps.reader1, ansible.op1, user.sh01, user.bj01 enabled; memberships match task; PasswordNeverExpires is not enabled.	Users must not be forced to change password at first logon.	0.25
SHA-DC01	C-SHA-DC01-07	Task 7	C. AD Sites, OU, groups, users and local admin model	SHA-FS01 and BJ-SRV01 are members of GG_B5_GMSA_Hosts.	Get-ADGroupMember GG_B5_GMSA_Hosts	Computer accounts SHA-FS01$ and BJ-SRV01$ are members.	Award if membership is effective before gMSA testing.	0.10
SHA-DC01	C-SHA-DC01-08	Task 8	C. AD Sites, OU, groups, users and local admin model	Domain password and account lockout policy match B5 requirements.	Get-ADDefaultDomainPasswordPolicy	Min length 10, complexity enabled, max age 60 days, min age 0 days, lockout threshold 5, lockout duration/reset counter 15 minutes.	Fine-grained policy is not required and should not override the default unexpectedly.	0.35
SHA-DC01	C-SHA-DC01-09	Task 8	C. AD Sites, OU, groups, users and local admin model	Local administrator GPOs exist, are linked to correct OUs and contain required policy settings.	Get-GPO -Name B5-Workstation-Local-Admins; Get-GPO -Name B5-Server-Local-Admins; Get-GPInheritance; Get-GPOReport -ReportType XML	Workstation GPO linked to OU=10-Workstations; server GPO linked to OU=00-Servers; settings add/define Domain Admins plus correct GG_B5_* admin group.	This checks GPO configuration, not the per-host result.	0.50
BJ-CL01	C-BJ-CL01-02	Task 8	C. AD Sites, OU, groups, users and local admin model	Workstation local Administrators membership is correct on BJ-CL01.	gpupdate /force; Get-LocalGroupMember Administrators	Includes NBB5\Domain Admins and NBB5\GG_B5_Workstation_Admins; B5 standard/test users are not local administrators.	Built-in local Administrator and system SIDs are acceptable.	0.20
SHA-FS01	C-SHA-FS01-01	Task 8	C. AD Sites, OU, groups, users and local admin model	Server local Administrators membership is correct on SHA-FS01.	gpupdate /force; Get-LocalGroupMember Administrators	Includes NBB5\Domain Admins and NBB5\GG_B5_Server_Admins; user.sh01, user.bj01, laps.reader1 and ansible.op1 are not local admins.	Built-in local Administrator and system SIDs are acceptable.	0.20
BJ-SRV01	C-BJ-SRV01-01	Task 8	C. AD Sites, OU, groups, users and local admin model	Server local Administrators membership is correct on BJ-SRV01.	gpupdate /force; Get-LocalGroupMember Administrators	Includes NBB5\Domain Admins and NBB5\GG_B5_Server_Admins; user.sh01, user.bj01, laps.reader1 and ansible.op1 are not local admins.	Built-in local Administrator and system SIDs are acceptable.	0.20
SHA-DC01	D-SHA-DC01-01	Task 9	D. WinRM baseline and Ansible control node	WinRM is enabled on SHA-DC01 and scoped to management source 10.25.30.0/24.	Get-Service WinRM; winrm enumerate winrm/config/listener; Get-NetFirewallRule -DisplayGroup 'Windows Remote Management' | Get-NetFirewallAddressFilter	WinRM service running/listening on 5985; firewall allows management from 10.25.30.0/24 and not arbitrary external networks.	Checked per host.	0.20
SHA-DC01	D-SHA-DC01-02	Task 9	D. WinRM baseline and Ansible control node	Windows Firewall profiles are enabled on SHA-DC01.	Get-NetFirewallProfile	Domain, Private and Public profiles are enabled.	Do not award if firewall is disabled to make Ansible work.	0.05
BJ-DC02	D-BJ-DC02-01	Task 9	D. WinRM baseline and Ansible control node	WinRM is enabled on BJ-DC02 and scoped to management source 10.25.30.0/24.	Get-Service WinRM; winrm enumerate winrm/config/listener; Get-NetFirewallRule -DisplayGroup 'Windows Remote Management' | Get-NetFirewallAddressFilter	WinRM service running/listening on 5985; firewall allows management from 10.25.30.0/24 and not arbitrary external networks.	Checked per host.	0.20
BJ-DC02	D-BJ-DC02-02	Task 9	D. WinRM baseline and Ansible control node	Windows Firewall profiles are enabled on BJ-DC02.	Get-NetFirewallProfile	Domain, Private and Public profiles are enabled.	Do not award if firewall is disabled to make Ansible work.	0.05
SHA-FS01	D-SHA-FS01-01	Task 9	D. WinRM baseline and Ansible control node	WinRM is enabled on SHA-FS01 and scoped to management source 10.25.30.0/24.	Get-Service WinRM; winrm enumerate winrm/config/listener; Get-NetFirewallRule -DisplayGroup 'Windows Remote Management' | Get-NetFirewallAddressFilter	WinRM service running/listening on 5985; firewall allows management from 10.25.30.0/24 and not arbitrary external networks.	Checked per host.	0.20
SHA-FS01	D-SHA-FS01-02	Task 9	D. WinRM baseline and Ansible control node	Windows Firewall profiles are enabled on SHA-FS01.	Get-NetFirewallProfile	Domain, Private and Public profiles are enabled.	Do not award if firewall is disabled to make Ansible work.	0.05
BJ-SRV01	D-BJ-SRV01-01	Task 9	D. WinRM baseline and Ansible control node	WinRM is enabled on BJ-SRV01 and scoped to management source 10.25.30.0/24.	Get-Service WinRM; winrm enumerate winrm/config/listener; Get-NetFirewallRule -DisplayGroup 'Windows Remote Management' | Get-NetFirewallAddressFilter	WinRM service running/listening on 5985; firewall allows management from 10.25.30.0/24 and not arbitrary external networks.	Checked per host.	0.20
BJ-SRV01	D-BJ-SRV01-02	Task 9	D. WinRM baseline and Ansible control node	Windows Firewall profiles are enabled on BJ-SRV01.	Get-NetFirewallProfile	Domain, Private and Public profiles are enabled.	Do not award if firewall is disabled to make Ansible work.	0.05
BJ-CL01	D-BJ-CL01-01	Task 9	D. WinRM baseline and Ansible control node	WinRM is enabled on BJ-CL01 and scoped to management source 10.25.30.0/24.	Get-Service WinRM; winrm enumerate winrm/config/listener; Get-NetFirewallRule -DisplayGroup 'Windows Remote Management' | Get-NetFirewallAddressFilter	WinRM service running/listening on 5985; firewall allows management from 10.25.30.0/24 and not arbitrary external networks.	Checked per host.	0.20
BJ-CL01	D-BJ-CL01-02	Task 9	D. WinRM baseline and Ansible control node	Windows Firewall profiles are enabled on BJ-CL01.	Get-NetFirewallProfile	Domain, Private and Public profiles are enabled.	Do not award if firewall is disabled to make Ansible work.	0.05
SHA-CL01	D-SHA-CL01-01	Task 10	D. WinRM baseline and Ansible control node	WSL and Ansible are installed and usable on SHA-CL01.	wsl -l -v; wsl ansible --version; wsl python3 --version	A Linux WSL distribution is present; ansible and python are available.	Offline installation is acceptable.	0.35
SHA-CL01	D-SHA-CL01-02	Task 10	D. WinRM baseline and Ansible control node	Ansible project structure under ~/ansible-b5 is complete.	From WSL: ls -R ~/ansible-b5	ansible.cfg, inventory.yml, group_vars/windows.yml, playbooks 01-07, and reports directory exist.	Minor file location differences are acceptable if commands run from a documented project root.	0.30
SHA-CL01	D-SHA-CL01-03	Task 10	D. WinRM baseline and Ansible control node	Ansible inventory groups and WinRM variables match the task.	From WSL: cd ~/ansible-b5 && ansible-inventory --graph && cat group_vars/windows.yml	Groups domain_controllers, member_servers, workstations, bitlocker_targets, gmsa_targets, b5_windows exist; WinRM NTLM 5985 variables are set.	SHA-CL01 does not have to manage itself.	0.35
SHA-CL01	D-SHA-CL01-04	Task 10	D. WinRM baseline and Ansible control node	Connectivity playbook successfully reaches managed hosts through WinRM.	From WSL: ansible-playbook playbooks/01-connectivity.yml	win_ping succeeds for at least five managed domain hosts: SHA-DC01, BJ-DC02, SHA-FS01, BJ-SRV01, BJ-CL01.	If a host is unreachable because B5 itself failed, do not award this aspect.	0.40
SHA-CL01	D-SHA-CL01-05	Task 10/16	D. WinRM baseline and Ansible control node	Submitted Ansible output and report timestamps prove reports were generated by playbooks, not copied manually.	From WSL: ansible-playbook playbooks/07-collect-evidence.yml; stat ~/ansible-b5/reports/*/b5-evidence.txt; review playbook tasks	Playbook output shows generation/fetch actions; report timestamps correspond to playbook run; report content differs by host.	This replaces the subjective 'not fabricated' check with observable evidence.	0.35
SHA-DC01	E-SHA-DC01-01	Task 11	E. Windows LAPS deployment and validation	Windows LAPS schema/cmdlets/AD support are available.	Get-Command *Laps*; Get-ADObject -SearchBase (Get-ADRootDSE).schemaNamingContext -LDAPFilter '(lDAPDisplayName=msLAPS-Password)'	Windows LAPS attributes/cmdlets exist and can be used.	Award if AD supports Windows LAPS, not legacy-only LAPS.	0.30
SHA-DC01	E-SHA-DC01-02	Task 11	E. Windows LAPS deployment and validation	LAPS policy is linked to member server and workstation OUs with required settings.	Get-GPOReport -All -ReportType XML; gpresult /h on target hosts	Backup directory Active Directory; password length 14; age 7 days; complexity includes uppercase/lowercase/numbers/special; applies to OU=00-Servers and OU=10-Workstations.	Full point requires both server and workstation targeting.	0.55
SHA-DC01	E-SHA-DC01-03	Task 11	E. Windows LAPS deployment and validation	LAPS does not target domain controllers, DMZ or simulated Internet workgroup hosts.	Review GPO links/security filtering; Get-ADComputer for out-of-scope hosts	No LAPS GPO link/effective targeting to Domain Controllers, DMZ, ISP or INET workgroup hosts.	Static DNS records for workgroup hosts are acceptable.	0.20
SHA-DC01	E-SHA-DC01-04	Task 11	E. Windows LAPS deployment and validation	LAPS read rights are delegated to GG_B5_LAPS_Readers only as required.	Find-LapsADExtendedRights -Identity 'OU=10-Workstations,DC=nb-b5,DC=local'; Find-LapsADExtendedRights -Identity 'OU=00-Servers,DC=nb-b5,DC=local'	GG_B5_LAPS_Readers has password read rights; B5 standard/test users are not listed.	Domain Admins may retain default administrative rights.	0.30
SHA-DC01	E-SHA-DC01-05	Task 11	E. Windows LAPS deployment and validation	laps.reader1 can retrieve LAPS password for a managed workstation/member server.	Run as NBB5\laps.reader1: Get-LapsADPassword -Identity BJ-CL01 -AsPlainText	Command returns LAPS password for BJ-CL01; similar evidence for SHA-FS01 acceptable.	Use runas or equivalent credential-specific test.	0.25
SHA-DC01	E-SHA-DC01-06	Task 11	E. Windows LAPS deployment and validation	Standard users cannot retrieve LAPS passwords.	Run as NBB5\user.bj01 or NBB5\user.sh01: Get-LapsADPassword -Identity BJ-CL01 -AsPlainText	Access denied or no permission to read password; users are absent from LAPS extended rights.	Do not award if standard users can read password values.	0.25
BJ-CL01	E-BJ-CL01-01	Task 11	E. Windows LAPS deployment and validation	BJ-CL01 applies LAPS policy and backs up a password to AD.	gpresult /r; Get-LapsDiagnostics or event log; from DC Get-LapsADPassword -Identity BJ-CL01	LAPS policy effective on BJ-CL01 and password object retrievable by authorized account.	Checked as workstation target.	0.25
