No	AspectID	Subsection	Description	Requirement	MaxMark	Type	HowToMark
78	E5	PC DHCPv4	PC1–PC4 получают корректные IPv4 leases.	PC1 10.110.10/24; PC2 10.110.40/24; PC3 10.112.10/24; PC4 10.113.10/24; not excluded ranges.	0.25	M	`show ip dhcp binding` on IR3 + endpoint addresses; 0,0625 each.
79	E6	IPv6 RA / SLAAC integrity	Все требуемые L3 interfaces действительно отправляют RA, а PC1–PC4 получают SLAAC/default route.	RA enabled on DS1/DS2 VLAN10,40,50; DS3/DS4 VLAN130,150; BR1 VLAN110; BR2 VLAN210. PC1–PC4 receive correct prefix and IPv6 default-router.	0.25	M	0,125 — на каждом required SVI/subinterface выполнить `show ipv6 interface <if>` и подтвердить `ND router advertisements are sent`/equivalent. 0,125 — PC1–PC4 имеют expected SLAAC prefix + IPv6 default route. Начислять пропорционально внутри каждой половины.
80	E7	SVR1 addressing	SVR1 имеет полный static dual-stack addressing.	10.111.130.10/24 gw10.111.130.1; 2001:db8:111:130::10/64; IPv6 default via RA.	0.25	M	На SVR1 проверить addresses/routes and remote/Internet-test reachability.
81	E8	SVR2 addressing	SVR2 имеет полный static dual-stack management addressing.	10.111.150.10/24 gw10.111.150.1; 2001:db8:111:150::10/64; IPv6 default via RA.	0.25	M	На SVR2 проверить addresses/routes and management reachability.
82	F1	VTY ACLs	IPv4/IPv6 VTY access ограничен только SVR2.	C5-VTY4 only 10.111.150.10; C5-VTY6 only 2001:db8:111:150::10; SSH only.	0.25	M	`show access-lists C5-VTY4`, `show ipv6 access-list C5-VTY6`; function via F2/F3.
83	F2	SSH management	SVR2 имеет SSH-доступ ко всем 16 Cisco devices.	ISP via Loopback100; IR/CR/DS/BR via Loopback0; AS via management SVI.	0.25	M	Scripted SSH login from SVR2 to 16 addresses; 0,25 × successes /16.
84	F3	SSH denial	User/Guest endpoints не могут SSH к network devices.	PC1–PC4 not allowed; Telnet unavailable.	0.25	M	Attempts from PC1–PC4 to local/remote devices denied while SVR2 works.
85	F4	ISP NTP master	ISP1 предоставляет NTP/Internet-test loopbacks.	Loopback100 198.51.100.200/32; Loopback200 2001:db8:ffff::200/128; ntp master3.	0.25	M	Loopbacks + `show ntp status`; clients associate to 198.51.100.200.
86	F5	NTP clients	Все non-ISP Cisco devices synchronized с required source-interface.	IR/CR/DS/BR source Loopback0; AS1/AS2 Vlan50; AS3/AS4 local MGMT.	0.25	M	`show ntp associations`/status; source IP by packet capture/ISP peer observation; proportional 15 clients.
87	F6	Syslog configuration/state	Все Cisco devices имеют правильные remote Syslog parameters и source-interface.	Destination SVR1; informational severity; buffered logging; ISP1 source Loopback100; IR/CR/DS/BR Loopback0; AS management SVI.	0.25	M	`show logging` должен показывать remote host, trap level informational и buffer. Source-interface подтвердить имеющимися collector source IP records или Restricted Check R7. Новый event здесь не генерировать.
88	F7	Syslog live delivery	SVR1 получает новый controlled Syslog event после настройки.	Event появляется с ожидаемым source IP и timestamp; delivery подтверждена после окончания participant time.	0.25	M	Выполнить только T7: создать один безопасный event и подтвердить новый collector record. Не оценивать здесь повторно configuration fields F6.
89	F8	SNMPv3 security objects	Все 16 devices имеют C5VIEW/C5GROUP/c5mon authPriv.	View iso; group priv; auth SHA; priv AES128; provided credentials.	0.25	M	`show snmp view`, `show snmp group`, `show snmp user`; proportional by device.
90	F9	SNMP source restriction	SNMPv3 management разрешен только с SVR2; SNMPv1/v2c community отсутствуют.	SVR2 10.111.150.10 authPriv succeeds; identical SNMPv3 request from SVR1 10.111.130.10 is denied; v1/v2c polling unavailable.	0.25	M	Positive SNMPv3 test from SVR2; negative authPriv poll from SVR1 using same user credentials must fail due source ACL. v1/v2c negative test from SVR1; if community absence ambiguous, Restricted Check R5.
91	F10	SNMPv3 polling	SVR2 получает sysName, sysUpTime и interface counters со всех 16 devices.	authPriv polling successful.	0.25	M	Scripted poll; 0,25 × devices with all required OIDs /16.
92	F11	Flexible NetFlow	Пять edge routers имеют правильный C5-REC/C5-EXP/C5-MON и создают evidence.	Record matches src/dst/protocol/ports, collects packet/byte; exporter to10.111.130.10 sourceLoopback0 UDP2055 v9; active timeout60; monitor input WAN. Normal evidence IR1/IR3/BR1/BR2, IR2 during IR1 failure.	0.5	M	0,25 config/state via `show flow record/exporter/monitor` and WAN application; 0,25 evidence: normal four edges + IR2 in G6.
93	G1	IPv4 end-to-end	Normal-state enterprise IPv4 connectivity проходит фиксированную acceptance matrix.	Все строки A1–A6 на листе Acceptance Matrix имеют PASS; routes use summarized BGP/OSPF design.	0.25	M	Выполнить Acceptance Matrix A1–A6 exactly. Начислить 0,25 × successful tests / 6. Source/destination client addresses берутся из current DHCP bindings.
94	G2	IPv6 end-to-end	Normal-state enterprise IPv6 connectivity проходит фиксированную acceptance matrix.	Все строки A7–A12 имеют PASS; IPv6 paths use SLAAC/OSPFv3/eBGP.	0.25	M	Выполнить Acceptance Matrix A7–A12 exactly. Начислить 0,25 × successful tests / 6. Current SLAAC addresses фиксируются перед тестом.
95	G3	Internet-test reachability	Разрешенные non-Guest endpoints достигают обоих ISP Internet-test addresses по фиксированной matrix.	Все строки A13–A20 имеют PASS.	0.25	M	Выполнить Acceptance Matrix A13–A20. Начислить 0,25 × successful tests / 8.
96	G4	EtherChannel member failure	Po12 переживает отказ одного member.	After shutdown one member Po12 stays up; VLAN10/40/50 connectivity preserved; member re-bundles after recovery.	0.25	M	T5: `show etherchannel summary`, trunks and continuous probes before/during/after.
97	G5	IR1 failure detection	При shutdown IR1 WAN его BGP sessions и conditional defaults withdraw.	IR1 OSPFv2/OSPFv3 metric10 default LSAs disappear and do not self-sustain.	0.25	M	T6: IR1 BGP summaries + HQ OSPFv2/v3 external database/default routes; both AF must withdraw.
98	G6	HQ failover via IR2	HQ переходит на IR2 ≤30 s и сохраняет dual-stack connectivity.	IR2 metric100 default active; ISP HQ best via IR2; IR2 NetFlow gains real HQ records.	0.25	M	Continuous IPv4/IPv6 probes + timestamps; HQ routes, ISP BGP HQ paths, IR2 flow cache. Full score if ≤30 s both AF.
99	G7	IR1 recovery	После восстановления IR1 normal primary preference возвращается.	BGP IR1 Established; metric10 defaults return; HQ/ISP again prefer IR1 local-pref250.	0.25	M	Restore IR1 WAN; verify recovery ≤30 s and routes both AF.
100	G8	Final restored state	После destructive tests стенд полностью возвращен в заданное final state.	Required interfaces up; mandated IR2–IR3 down; protocols converged; leases/security bindings valid; no err-disabled ports; telemetry working; configurations saved.	0.25	M	Выполнить T8 final checker и оценить этот конечный observable state независимо от остальных аспектов.
