"AspectID"	"GroupID"	"HostKey"	"MaxMark"	"Description"	"VerificationCommands"	"ExpectedResult"	"ExpectedAttributes"	"WSOS"	"OriginalAspectID"
"B1.03"	"B1"	"BJ-SRV01"	"0.35"	"BJ-SRV01 volume F подготовлен"	"Get-Disk; Get-Partition; Get-Volume F"	"60GB GPT NTFS F: BJ-BACKUP"	"Correct additional 60 GB disk is initialized as GPT, formatted NTFS, mounted as F: and labelled BJ-BACKUP."	"4"	"B1.03"
"B1.04"	"B1"	"BJ-SRV01"	"0.25"	"Базовые каталоги созданы"	"Test-Path required directories"	"E:\Shares и F:\B3Backup существуют"	"Base directories exist on the required volumes."	"4"	"B1.04"
"B1.05"	"B1"	"SHA-FS01"	"0.25"	"Системный диск сохранён"	"Get-Volume; Get-Partition"	"C: остаётся системным, data не подменены C:"	"System disk C: is not formatted, relabelled or used as a replacement for required E:, F: or iSCSI R: volumes."	"4"	"B1.05"
"B1.06"	"B1"	"BJ-SRV01"	"0.35"	"Storage-компоненты установлены на нужных узлах"	"Get-WindowsFeature"	"Необходимые file/storage features установлены"	"Only components required by B3 are installed on intended hosts; FSRM and iSCSI Target are not required as assessed roles on SHA-FS01."	"4"	"B1.06"
"C1.01"	"C1"	"SHA-DC01"	"0.25"	"B3 OU существуют"	"Get-ADOrganizationalUnit"	"50-Storage, 60-B3-Groups, 70-B3-TestUsers"	"Required B3 OUs exist under nb-b3.local."	"4"	"C1.01"
"C1.02"	"C1"	"SHA-DC01"	"0.35"	"B3 группы Global Security созданы"	"Get-ADGroup"	"Все семь групп корректны"	"GG_B3_Common_RW, GG_B3_Common_RO, GG_B3_Shanghai_RW, GG_B3_Beijing_RW, GG_B3_Archive_RW, GG_B3_Archive_RO and GG_B3_Backup_Operators exist as Global Security groups."	"4"	"C1.02"
"C1.03"	"C1"	"SHA-DC01"	"0.35"	"B3 пользователи и flags корректны"	"Get-ADUser"	"Четыре enabled user, корректные password flags"	"All required users exist, are enabled, are not forced to change password at first logon, and Password never expires is not enabled."	"4"	"C1.03"
"C1.04"	"C1"	"SHA-DC01"	"0.35"	"Membership storage users корректен"	"Get-ADPrincipalGroupMembership"	"storage.sh01 и storage.bj01 в требуемых группах"	"storage.sh01 is in Common_RW, Shanghai_RW and Archive_RW. storage.bj01 is in Common_RW, Beijing_RW and Archive_RW."	"4"	"C1.04"
"C1.05"	"C1"	"SHA-DC01"	"0.30"	"Membership auditor и backup operator корректен"	"Get-ADPrincipalGroupMembership"	"auditor.b3 и backup.op1 в требуемых группах"	"auditor.b3 is in Common_RO and Archive_RO. backup.op1 is in GG_B3_Backup_Operators."	"4"	"C1.05"
"C1.06"	"C1"	"SHA-DC01"	"0.25"	"Access model не обойдён broad groups"	"Проверить memberships и ACL evidence"	"Нет broad bypass группы"	"Do not penalize standard Windows/AD groups. Penalize only if a broad or extra group is used to bypass the required access model or grants unintended access."	"4"	"C1.06"
"C1.07"	"C1"	"SHA-DC01"	"0.15"	"Имена AD-объектов точны"	"Get-ADGroup/Get-ADUser/Get-ADOrganizationalUnit"	"Обязательные имена совпадают"	"Names of required OUs, groups and users match the task exactly. Additional harmless standard objects are not penalized."	"4"	"C1.07"
"D1.01"	"D1"	"BJ-SRV01"	"0.25"	"iSCSI Target role и каталог готовы"	"Get-WindowsFeature; Test-Path E:\iSCSI"	"Role installed, каталог существует"	"iSCSI Target Server is installed on BJ-SRV01 and E:\iSCSI exists."	"4"	"D1.01"
"D1.02"	"D1"	"BJ-SRV01"	"0.35"	"iSCSI virtual disk корректен"	"Get-IscsiVirtualDisk"	"E:\iSCSI\B3-Archive.vhdx размером 30GB"	"Virtual disk exists at E:\iSCSI\B3-Archive.vhdx with size 30 GB."	"4"	"D1.02"
"D1.03"	"D1"	"BJ-SRV01"	"0.35"	"iSCSI target и initiator access корректны"	"Get-IscsiServerTarget"	"B3-Archive-Target разрешает SHA-FS01"	"Target name is B3-Archive-Target and access is limited to SHA-FS01. Access by unrelated initiators is not required and should not be configured."	"4"	"D1.03"
"D1.04"	"D1"	"SHA-FS01"	"0.35"	"SHA-FS01 подключён к iSCSI target"	"Get-IscsiTarget; Get-IscsiSession"	"Активная persistent session к BJ-SRV01"	"SHA-FS01 has an active iSCSI session to BJ-SRV01 and the target reconnects after normal restart or rescan."	"4"	"D1.04"
"D1.05"	"D1"	"SHA-FS01"	"0.40"	"Archive volume R подготовлен"	"Get-Disk BusType iSCSI; Get-Volume R"	"GPT NTFS R: SH-ARCHIVE"	"The iSCSI disk is initialized as GPT, formatted NTFS, mounted as R: and labelled SH-ARCHIVE."	"4"	"D1.05"
"D1.06"	"D1"	"SHA-FS01"	"0.25"	"Archive directory существует"	"Test-Path R:\Archive"	"R:\Archive существует"	"R:\Archive exists and is used for the Archive share."	"4"	"D1.06"
"D1.07"	"D1"	"SHA-FS01"	"0.25"	"iSCSI connectivity работает"	"Get-IscsiSession; Test-NetConnection BJ-SRV01 3260"	"Session и TCP/3260 работают"	"Required iSCSI connectivity works. Do not require unrelated management ports for this aspect."	"4"	"D1.07"
"D1.08"	"D1"	"BJ-SRV01"	"0.30"	"Нет посторонних iSCSI initiators"	"Get-IscsiServerTarget"	"Только SHA-FS01 используется как initiator"	"Only SHA-FS01 is used as the B3 initiator. Other hosts are not connected to the Archive target as part of the assessed solution."	"4"	"D1.08"
"E1.01"	"E1"	"SHA-FS01"	"0.40"	"Shares SHA-FS01 созданы"	"Get-SmbShare; Test-Path"	"Common, Shanghai, Archive указывают на верные пути"	"Shares Common, Shanghai and Archive exist on SHA-FS01 and point to the required paths."	"4"	"E1.01"
"E1.02"	"E1"	"BJ-SRV01"	"0.40"	"Shares BJ-SRV01 созданы"	"Get-SmbShare; Test-Path"	"Common, Beijing, B3Backup$ указывают на верные пути"	"Shares Common, Beijing and B3Backup$ exist on BJ-SRV01 and point to the required paths."	"4"	"E1.02"
"E1.03"	"E1"	"SHA-FS01"	"0.30"	"ABE включён на shares SHA-FS01"	"Get-SmbShare"	"FolderEnumerationMode AccessBased"	"FolderEnumerationMode is AccessBased for all specified shares."	"4"	"E1.03"
"E1.04"	"E1"	"BJ-SRV01"	"0.45"	"Common permissions корректны на BJ-SRV01"	"Get-Acl; Get-SmbShareAccess"	"RW Modify, RO Read, Domain Admins Full"	"GG_B3_Common_RW has Modify, GG_B3_Common_RO has ReadAndExecute, and Domain Admins have Full Control. Effective access matches the task."	"4"	"E1.04"
"E1.05"	"E1"	"SHA-FS01"	"0.35"	"Shanghai permissions корректны"	"Get-Acl; Get-SmbShareAccess"	"Shanghai_RW Modify, Domain Admins Full"	"GG_B3_Shanghai_RW has Modify and Domain Admins have Full Control. Users without this group do not get access through another B3 group."	"4"	"E1.05"
"E1.06"	"E1"	"BJ-SRV01"	"0.35"	"Beijing permissions корректны"	"Get-Acl; Get-SmbShareAccess"	"Beijing_RW Modify, Domain Admins Full"	"GG_B3_Beijing_RW has Modify and Domain Admins have Full Control. Users without this group do not get access through another B3 group."	"4"	"E1.06"
"E1.07"	"E1"	"SHA-FS01"	"0.35"	"Archive permissions корректны"	"Get-Acl; Get-SmbShareAccess"	"Archive_RW Modify, Archive_RO Read, admins Full"	"GG_B3_Archive_RW has Modify, GG_B3_Archive_RO has ReadAndExecute, and Domain Admins have Full Control."	"4"	"E1.07"
"E1.08"	"E1"	"BJ-SRV01"	"0.35"	"B3Backup$ permissions поддерживают backup"	"Get-Acl; Get-SmbShareAccess"	"Backup operators и SHA-FS01$ Modify"	"GG_B3_Backup_Operators has Modify, NBB3\SHA-FS01$ has Modify, and Domain Admins have Full Control."	"4"	"E1.08"
"E1.09"	"E1"	"BJ-SRV01"	"0.30"	"Нет broad permission bypass"	"Проверить SMB/NTFS ACL"	"Broad principals не обходят модель"	"Do not penalize inherited system entries. Penalize broad access only if it grants access beyond the required model or acts as the only access mechanism."	"4"	"E1.09"
"E1.10"	"E1"	"BJ-CL01"	"0.25"	"SMB reachability работает"	"Test-NetConnection servers -Port 445"	"Оба file server доступны по TCP/445"	"SMB TCP/445 is reachable where required for B3 shares and DFS targets."	"4"	"E1.10"
"F1.01"	"F1"	"BJ-SRV01"	"0.30"	"DFS Namespace role установлен"	"Get-WindowsFeature FS-DFS-Namespace"	"Role установлен на namespace server"	"DFS Namespace role is installed on SHA-FS01 and BJ-SRV01."	"4"	"F1.01"
"F1.02"	"F1"	"SHA-FS01"	"0.45"	"Domain DFS root настроен"	"Get-DfsnRoot"	"\\nb-b3.local\Corp, 2008 mode, два root target"	"DFS root \\nb-b3.local\Corp exists, uses Windows Server 2008 mode and includes SHA-FS01 and BJ-SRV01 as namespace servers."	"4"	"F1.02"
"F1.03"	"F1"	"SHA-FS01"	"0.40"	"Common имеет два DFS target"	"Get-DfsnFolderTarget Common"	"Точно SHA-FS01\Common и BJ-SRV01\Common"	"Common has exactly the required targets: \\SHA-FS01\Common and \\BJ-SRV01\Common."	"4"	"F1.03"
"F1.04"	"F1"	"SHA-FS01"	"0.45"	"Остальные DFS targets корректны"	"Get-DfsnFolderTarget"	"Shanghai, Beijing, Archive корректны"	"Shanghai targets \\SHA-FS01\Shanghai, Beijing targets \\BJ-SRV01\Beijing, and Archive targets \\SHA-FS01\Archive."	"4"	"F1.04"
"F1.05"	"F1"	"SHA-CL01"	"0.35"	"DFS Namespace открывается с клиента"	"Test-Path DFS paths"	"Root и требуемые folder доступны"	"\\nb-b3.local\Corp and required folders are accessible from both clients, subject to user permissions."	"4"	"F1.05"
"F1.06"	"F1"	"SHA-FS01"	"0.25"	"Archive DFS target использует iSCSI"	"Get-SmbShare Archive"	"Share path равен R:\Archive"	"The Archive DFS folder target ultimately stores data on the iSCSI-backed R: volume."	"4"	"F1.06"
"F1.07"	"F1"	"SHA-FS01"	"0.30"	"Нет неверных DFS target"	"Get-DfsnFolderTarget all"	"Нет wrong host/path/C: substitute"	"No assessed DFS folder points to a wrong host, wrong local path, C: drive, or non-required substitute share."	"4"	"F1.07"
"G1.01"	"G1"	"BJ-SRV01"	"0.25"	"DFSR role установлен"	"Get-WindowsFeature FS-DFS-Replication"	"Role установлен на member"	"DFS Replication role is installed on both SHA-FS01 and BJ-SRV01."	"4"	"G1.01"
"G1.02"	"G1"	"SHA-FS01"	"0.40"	"DFSR group и folder созданы"	"Get-DfsReplicationGroup/Get-DfsReplicatedFolder"	"B3-Common-RG и Common существуют"	"Replication group B3-Common-RG exists with replicated folder Common."	"4"	"G1.02"
"G1.03"	"G1"	"SHA-FS01"	"0.35"	"DFSR members и paths корректны"	"Get-DfsrMembership"	"Два member, оба E:\Shares\Common"	"Members are SHA-FS01 and BJ-SRV01. SHA-FS01 path is E:\Shares\Common and BJ-SRV01 path is E:\Shares\Common. SHA-FS01 is the primary member where applicable."	"4"	"G1.03"
"G1.04"	"G1"	"SHA-FS01"	"0.35"	"DFSR topology/settings корректны"	"Get-DfsrConnection/Get-DfsrMembership"	"Full mesh, full bandwidth, staging 1024, filters"	"Topology is full mesh, schedule always enabled, bandwidth full, staging quota 1024 MB, and file filter includes ~*, *.tmp."	"4"	"G1.04"
"G1.05"	"G1"	"BJ-SRV01"	"0.50"	"DFSR test file реплицирован"	"Get-Content B3-DFSR-Test.txt"	"Файл с требуемым содержимым существует"	"File B3-DFSR-Test.txt with content 'DFS Replication validation for B3' exists on both servers after replication."	"4"	"G1.05"
"G1.06"	"G1"	"SHA-FS01"	"0.30"	"DFSR только для Common"	"Get-DfsReplicatedFolder"	"Нет Shanghai/Beijing/Archive"	"DFS Replication is configured only for Common, not for Shanghai, Beijing or Archive."	"4"	"G1.06"
"G1.07"	"G1"	"BJ-SRV01"	"0.35"	"DFSR service и health достаточны"	"Get-Service DFSR; event log; test file"	"Service running, нет blocking errors"	"DFSR service is running and there are no blocking errors preventing Common replication. Temporary non-blocking warnings after initial sync should not cause failure if the required test file replicated."	"4"	"G1.07"
"H1.01"	"H1"	"BJ-SRV01"	"0.30"	"FSRM используется на BJ-SRV01"	"Get-WindowsFeature FS-Resource-Manager"	"FSRM установлен и используется здесь"	"FSRM quota and file screen are configured on BJ-SRV01. FSRM is not installed or not used as part of the assessed B3 solution on SHA-FS01."	"4"	"H1.01"
"H1.02"	"H1"	"BJ-SRV01"	"0.35"	"FSRM quota template корректен"	"Get-FsrmQuotaTemplate"	"B3-Beijing-1GB-Hard, hard 1GB"	"Template exists with hard quota limit 1 GB."	"4"	"H1.02"
"H1.03"	"H1"	"BJ-SRV01"	"0.30"	"FSRM quota применён"	"Get-FsrmQuota E:\Shares\Beijing"	"Hard quota 1GB применена"	"Quota based on the B3-Beijing-1GB-Hard template is applied to E:\Shares\Beijing."	"4"	"H1.03"
"H1.04"	"H1"	"BJ-SRV01"	"0.30"	"FSRM file group корректна"	"Get-FsrmFileGroup"	"Содержит пять обязательных patterns"	"File group exists and includes *.exe, *.bat, *.cmd, *.msi and *.ps1."	"4"	"H1.04"
"H1.05"	"H1"	"BJ-SRV01"	"0.35"	"FSRM active screen настроен"	"Get-FsrmFileScreen"	"Active screen на Beijing"	"An active file screen for B3-Blocked-Executable-Files is applied to E:\Shares\Beijing."	"4"	"H1.05"
"H1.06"	"H1"	"BJ-CL01"	"0.40"	"FSRM behavior корректен"	"Проверка allowed.txt и blocked.exe"	"TXT разрешён, EXE заблокирован"	"allowed.txt can be created. blocked.exe is blocked by FSRM."	"4"	"H1.06"
"I1.01"	"I1"	"SHA-FS01"	"0.25"	"Shadow Copies включены для E:"	"vssadmin list shadowstorage"	"Shadow storage для E: максимум 10%"	"Shadow Copies are enabled for E: on SHA-FS01 and maximum storage is 10% of the E: volume."	"4"	"I1.01"
"I1.02"	"I1"	"SHA-FS01"	"0.25"	"Shadow Copy schedule корректен"	"Get-ScheduledTask ShadowCopyVolume"	"Ежедневно 07:00 и 12:00"	"Schedule runs daily at 07:00 and daily at 12:00."	"4"	"I1.02"
"I1.03"	"I1"	"SHA-FS01"	"0.30"	"Previous version test подготовлен"	"vssadmin list shadows; Get-Content test file"	"Есть shadow; current version 2"	"An initial shadow copy exists. The file has current content 'version 2' and previous version with 'version 1' is available for demonstration."	"4"	"I1.03"
"I1.04"	"I1"	"SHA-FS01"	"0.25"	"Windows Server Backup подготовлен"	"Get-WindowsFeature Windows-Server-Backup"	"Feature установлен, repository доступен"	"Windows Server Backup is installed on SHA-FS01. Backup repository share on BJ-SRV01 is available and writable by NBB3\SHA-FS01$."	"4"	"I1.04"
"I1.05"	"I1"	"SHA-FS01"	"0.35"	"One-time backup корректен"	"Get-WBBackupSet"	"Успешный backup required sources на BJ-SRV01"	"Backup includes E:\Shares\Common, E:\Shares\Shanghai and R:\Archive, and destination is \\BJ-SRV01\B3Backup$."	"4"	"I1.05"
"I1.06"	"I1"	"SHA-FS01"	"0.45"	"Test file восстановлен корректно"	"Test-Path/Get-Content RestoreTest"	"Содержимое B3 backup validation"	"Restored file exists at E:\RestoreTest\B3-Backup-Test.txt and content equals 'B3 backup validation'."	"4"	"I1.06"
"I1.07"	"I1"	"SHA-FS01"	"0.15"	"Scheduled backup не требуется"	"Get-ScheduledTask/Get-WBSchedule"	"Отсутствие schedule не штрафуется"	"Do not require a regular backup schedule for points. Extra scheduled backup is not penalized unless it breaks required one-time backup/restore."	"4"	"I1.07"
"J1.01"	"J1"	"SHA-CL01"	"0.20"	"storage.sh01 access соответствует модели"	"Явные read/write/deny tests"	"Modify Common/Shanghai/Archive; deny Beijing"	"storage.sh01 has Modify on Common, Shanghai and Archive and no access to Beijing."	"4"	"J1.01"
"J1.02"	"J1"	"SHA-CL01"	"0.20"	"storage.bj01 access соответствует модели"	"Явные read/write/deny tests"	"Modify Common/Beijing/Archive; deny Shanghai"	"storage.bj01 has Modify on Common, Beijing and Archive and no access to Shanghai."	"4"	"J1.02"
"J1.03"	"J1"	"SHA-CL01"	"0.20"	"auditor.b3 access соответствует модели"	"Явные read/write/deny tests"	"Read-only Common/Archive, deny site folders"	"auditor.b3 has read-only access to Common and Archive, cannot modify Common, and has no access to Shanghai or Beijing."	"4"	"J1.03"
"J1.04"	"J1"	"SHA-CL01"	"0.15"	"Client FSRM validation документирован"	"Проверить B3-selfcheck.txt"	"Allowed и blocked результаты записаны"	"Allowed file creation succeeds and executable/script file creation is blocked as required."	"4"	"J1.04"
"J1.05"	"J1"	"SHA-CL01"	"0.25"	"Local submission содержит все файлы"	"Get-ChildItem C:\Skills\B3"	"Все девять обязательных файлов существуют"	"C:\Skills\B3 contains B3-storage-setup.ps1, B3-ad-objects.ps1, B3-iscsi.ps1, B3-shares-permissions.ps1, B3-dfs.ps1, B3-fsrm.ps1, B3-backup-restore.ps1 and B3-selfcheck.txt. Scripts reflect the performed setup; Git is not required."	"2"	"J1.05"
